nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
0,0,511,1,0,511,7,1
0,1,512,1,1,512,7,1
0,2,513,1,2,513,7,1
0,3,514,1,3,514,7,1
0,4,515,1,4,515,7,1
0,5,516,1,5,516,7,1
0,6,517,1,6,517,7,1
0,7,518,1,7,518,7,1
0,8,519,1,8,519,7,1
0,0,520,2,0,511,7,1
0,1,521,2,1,512,7,1
0,2,522,2,2,513,7,1
0,3,523,2,3,514,7,1
0,4,524,2,4,515,7,1
0,5,525,2,5,516,7,1
0,6,526,2,6,517,7,1
0,7,527,2,7,518,7,1
0,9,528,2,8,519,7,1
0,0,529,3,0,511,7,1
0,1,530,3,1,512,7,1
0,2,531,3,2,513,7,1
0,3,532,3,3,514,7,1
0,4,533,3,4,515,7,1
0,5,534,3,5,516,7,1
0,6,535,3,6,517,7,1
0,7,536,3,7,518,7,1
0,10,537,3,8,519,7,1
0,0,538,4,0,511,7,1
0,1,539,4,1,512,7,1
0,2,540,4,2,513,7,1
0,3,541,4,3,514,7,1
0,4,542,4,4,515,7,1
0,5,543,4,5,516,7,1
0,6,544,4,6,517,7,1
0,7,545,4,7,518,7,1
0,11,546,4,8,519,7,1
0,0,547,5,0,511,7,1
0,1,548,5,1,512,7,1
0,2,549,5,2,513,7,1
0,3,550,5,3,514,7,1
0,4,551,5,4,515,7,1
0,5,552,5,5,516,7,1
0,6,553,5,6,517,7,1
0,7,554,5,7,518,7,1
0,12,555,5,8,519,7,1
0,0,556,6,0,511,7,1
0,1,557,6,1,512,7,1
0,2,558,6,2,513,7,1
0,3,559,6,3,514,7,1
0,4,560,6,4,515,7,1
0,5,561,6,5,516,7,1
0,6,562,6,6,517,7,1
0,7,563,6,7,518,7,1
0,13,564,6,8,519,7,1
0,0,565,7,0,511,7,1
0,1,566,7,1,512,7,1
0,2,567,7,2,513,7,1
0,3,568,7,3,514,7,1
0,4,569,7,4,515,7,1
0,5,570,7,5,516,7,1
0,6,571,7,6,517,7,1
0,7,572,7,7,518,7,1
0,14,573,7,8,519,7,1
0,0,574,8,0,511,7,1
0,1,575,8,1,512,7,1
0,2,576,8,2,513,7,1
0,3,577,8,3,514,7,1
0,4,578,8,4,515,7,1
0,5,579,8,5,516,7,1
0,6,580,8,6,517,7,1
0,7,581,8,7,518,7,1
0,0,582,9,0,511,7,1
0,1,583,9,1,512,7,1
0,2,584,9,2,513,7,1
0,3,585,9,3,514,7,1
0,4,586,9,4,515,7,1
0,5,587,9,5,516,7,1
0,6,588,9,6,517,7,1
0,7,589,9,7,518,7,1
0,0,590,10,0,511,7,1
0,1,591,10,1,512,7,1
0,2,592,10,2,513,7,1
0,3,593,10,3,514,7,1
0,4,594,10,4,515,7,1
0,5,595,10,5,516,7,1
0,6,596,10,6,517,7,1
0,7,597,10,7,518,7,1
0,0,598,11,0,511,7,1
0,1,599,11,1,512,7,1
0,2,600,11,2,513,7,1
0,3,601,11,3,514,7,1
0,4,602,11,4,515,7,1
0,5,603,11,5,516,7,1
0,6,604,11,6,517,7,1
0,7,605,11,7,518,7,1
0,0,606,12,0,511,7,1
0,1,607,12,1,512,7,1
0,2,608,12,2,513,7,1
0,3,609,12,3,514,7,1
0,4,610,12,4,515,7,1
0,5,611,12,5,516,7,1
0,6,612,12,6,517,7,1
0,7,613,12,7,518,7,1
0,0,614,13,0,511,7,1
0,1,615,13,1,512,7,1
0,2,616,13,2,513,7,1
0,3,617,13,3,514,7,1
0,4,618,13,4,515,7,1
0,5,619,13,5,516,7,1
0,6,620,13,6,517,7,1
0,7,621,13,7,518,7,1
0,0,622,14,0,511,7,1
0,1,623,14,1,512,7,1
0,2,624,14,2,513,7,1
0,3,625,14,3,514,7,1
0,4,626,14,4,515,7,1
0,5,627,14,5,516,7,1
0,6,628,14,6,517,7,1
0,7,629,14,7,518,7,1
0,0,630,15,0,511,7,1
0,1,631,15,1,512,7,1
0,2,632,15,2,513,7,1
0,3,633,15,3,514,7,1
0,4,634,15,4,515,7,1
0,5,635,15,5,516,7,1
0,6,636,15,6,517,7,1
0,7,637,15,7,518,7,1
1,0,520,2,0,520,7,1
1,1,521,2,1,521,7,1
1,2,522,2,2,522,7,1
1,3,523,2,3,523,7,1
1,4,524,2,4,524,7,1
1,5,525,2,5,525,7,1
1,6,526,2,6,526,7,1
1,7,527,2,7,527,7,1
1,9,528,2,9,528,7,1
1,0,529,3,0,520,7,1
1,1,530,3,1,521,7,1
1,2,531,3,2,522,7,1
1,3,532,3,3,523,7,1
1,4,533,3,4,524,7,1
1,5,534,3,5,525,7,1
1,6,535,3,6,526,7,1
1,7,536,3,7,527,7,1
1,10,537,3,9,528,7,1
1,0,538,4,0,520,7,1
1,1,539,4,1,521,7,1
1,2,540,4,2,522,7,1
1,3,541,4,3,523,7,1
1,4,542,4,4,524,7,1
1,5,543,4,5,525,7,1
1,6,544,4,6,526,7,1
1,7,545,4,7,527,7,1
1,11,546,4,9,528,7,1
1,0,547,5,0,520,7,1
1,1,548,5,1,521,7,1
1,2,549,5,2,522,7,1
1,3,550,5,3,523,7,1
1,4,551,5,4,524,7,1
1,5,552,5,5,525,7,1
1,6,553,5,6,526,7,1
1,7,554,5,7,527,7,1
1,12,555,5,9,528,7,1
1,0,556,6,0,520,7,1
1,1,557,6,1,521,7,1
1,2,558,6,2,522,7,1
1,3,559,6,3,523,7,1
1,4,560,6,4,524,7,1
1,5,561,6,5,525,7,1
1,6,562,6,6,526,7,1
1,7,563,6,7,527,7,1
1,13,564,6,9,528,7,1
1,0,565,7,0,520,7,1
1,1,566,7,1,521,7,1
1,2,567,7,2,522,7,1
1,3,568,7,3,523,7,1
1,4,569,7,4,524,7,1
1,5,570,7,5,525,7,1
1,6,571,7,6,526,7,1
1,7,572,7,7,527,7,1
1,14,573,7,9,528,7,1
1,0,574,8,0,519,7,1
1,1,575,8,1,520,7,1
1,2,576,8,2,521,7,1
1,3,577,8,3,522,7,1
1,4,578,8,4,523,7,1
1,5,579,8,5,524,7,1
1,6,580,8,6,525,7,1
1,7,581,8,7,526,7,1
1,0,582,9,0,519,7,1
1,1,583,9,1,520,7,1
1,2,584,9,2,521,7,1
1,3,585,9,3,522,7,1
1,4,586,9,4,523,7,1
1,5,587,9,5,524,7,1
1,6,588,9,6,525,7,1
1,7,589,9,7,526,7,1
