taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
53,1,15,2236962,URMA_WRITE,7,0ns,17,,0,0,3,3,0.0,545.74584,0.0,0.0,32.7913
54,1,15,2236962,URMA_WRITE,7,0ns,17,,0,0,4,4,0.0,545.74584,0.0,0.0,32.7913
55,1,15,2236962,URMA_WRITE,7,0ns,17,,0,0,5,5,0.0,545.74584,0.0,0.0,32.7913
56,1,15,2236963,URMA_WRITE,7,0ns,17,,0,0,6,6,0.0,688.07912,0.0,0.0,26.0082
57,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,2,1,0.0,195.87198,0.0,0.0,365.457
58,1,14,2236962,URMA_WRITE,7,0ns,19,,0,0,3,3,0.0,545.4232,0.0,0.0,32.8107
59,1,14,2236962,URMA_WRITE,7,0ns,19,,0,0,4,4,0.0,545.4232,0.0,0.0,32.8107
60,1,14,2236962,URMA_WRITE,7,0ns,19,,0,0,5,5,0.0,545.5432,0.0,0.0,32.8034
61,1,14,2236963,URMA_WRITE,7,0ns,19,,0,0,6,6,0.0,545.5432,0.0,0.0,32.8035
62,1,4,2236962,URMA_WRITE,7,0ns,20,,0,0,3,3,0.0,545.92944,0.0,0.0,32.7802
63,1,4,2236962,URMA_WRITE,7,0ns,20,,0,0,4,4,0.0,546.80416,0.0,0.0,32.7278
64,1,4,2236962,URMA_WRITE,7,0ns,20,,0,0,5,5,0.0,546.80416,0.0,0.0,32.7278
65,1,4,2236963,URMA_WRITE,7,0ns,20,,0,0,6,6,0.0,777.44246,0.0,0.0,23.0187
66,1,13,2236962,URMA_WRITE,7,0ns,21,,0,0,3,3,0.0,545.83632,0.0,0.0,32.7858
67,1,13,2236962,URMA_WRITE,7,0ns,21,,0,0,4,4,0.0,545.83632,0.0,0.0,32.7858
