taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
199,7,2,8947849,URMA_WRITE,7,0ns,199,135.0,0,0,4,4,405.6962,608.5412,0.0,0.0,352.894
200,8,13,8947848,URMA_WRITE,7,0ns,200,136.0,0,0,4,4,405.70176,608.66618,0.0,0.0,352.6864
201,9,12,8947848,URMA_WRITE,7,0ns,201,137.0,0,0,4,4,405.70174,608.55454,0.0,0.0,352.8804
202,10,15,8947848,URMA_WRITE,7,0ns,202,138.0,0,0,4,4,405.70174,608.55454,0.0,0.0,352.8804
203,11,14,8947848,URMA_WRITE,7,0ns,203,139.0,0,0,4,4,405.70174,608.55454,0.0,0.0,352.8804
204,12,9,8947848,URMA_WRITE,7,0ns,204,140.0,0,0,4,4,405.70174,608.53154,0.0,0.0,352.9204
205,13,8,8947848,URMA_WRITE,7,0ns,205,141.0,0,0,4,4,405.71174,608.66918,0.0,0.0,352.6985
206,14,11,8947848,URMA_WRITE,7,0ns,206,142.0,0,0,4,4,405.70174,608.53154,0.0,0.0,352.9204
207,15,10,8947848,URMA_WRITE,7,0ns,207,143.0,0,0,4,4,405.70174,608.53154,0.0,0.0,352.9204
208,0,14,8947848,URMA_WRITE,7,0ns,208,144.0,1,1,5,5,406.25084,608.73676,0.0,0.0,353.5198
209,1,15,8947848,URMA_WRITE,7,0ns,209,145.0,1,1,5,5,406.25084,608.73676,0.0,0.0,353.5198
210,2,12,8947848,URMA_WRITE,7,0ns,210,146.0,1,1,5,5,406.25084,608.45308,0.0,0.0,354.0158
211,3,13,8947848,URMA_WRITE,7,0ns,211,147.0,1,1,5,5,406.25084,608.73676,0.0,0.0,353.5198
212,4,10,8947848,URMA_WRITE,7,0ns,212,148.0,1,1,5,5,405.36272,608.07948,0.0,0.0,353.1172
213,5,11,8947848,URMA_WRITE,7,0ns,213,149.0,1,1,5,5,405.36272,608.07948,0.0,0.0,353.1172
214,6,8,8947849,URMA_WRITE,7,0ns,214,150.0,1,1,5,5,405.36272,608.0795,0.0,0.0,353.1173
215,7,9,8947848,URMA_WRITE,7,0ns,215,151.0,1,1,5,5,405.36272,608.07948,0.0,0.0,353.1172
216,8,6,8947849,URMA_WRITE,7,0ns,216,152.0,1,1,5,5,406.34138,608.73588,0.0,0.0,353.6795
217,9,7,8947849,URMA_WRITE,7,0ns,217,153.0,1,1,5,5,406.34136,608.73586,0.0,0.0,353.6795
218,10,4,8947849,URMA_WRITE,7,0ns,218,154.0,1,1,5,5,406.34136,608.73586,0.0,0.0,353.6795
219,11,5,8947849,URMA_WRITE,7,0ns,219,155.0,1,1,5,5,406.34136,608.73586,0.0,0.0,353.6795
220,12,2,8947849,URMA_WRITE,7,0ns,220,156.0,1,1,5,5,405.34972,607.7872,0.0,0.0,353.6044
221,13,3,8947849,URMA_WRITE,7,0ns,221,157.0,1,1,5,5,405.34972,608.16304,0.0,0.0,352.9492
222,14,0,8947849,URMA_WRITE,7,0ns,222,158.0,1,1,5,5,405.34972,608.16304,0.0,0.0,352.9492
223,15,1,8947849,URMA_WRITE,7,0ns,223,159.0,1,1,5,5,405.34972,608.16304,0.0,0.0,352.9492
224,0,11,8947848,URMA_WRITE,7,0ns,224,160.0,0,0,6,6,405.59392,608.61576,0.0,0.0,352.5866
225,1,10,8947848,URMA_WRITE,7,0ns,225,161.0,0,0,6,6,405.59392,608.51728,0.0,0.0,352.7577
226,2,9,8947848,URMA_WRITE,7,0ns,226,162.0,0,0,6,6,405.59392,608.61576,0.0,0.0,352.5866
227,3,8,8947849,URMA_WRITE,7,0ns,227,163.0,0,0,6,6,405.59392,608.41234,0.0,0.0,352.9403
228,4,15,8947848,URMA_WRITE,7,0ns,228,164.0,0,0,6,6,405.61044,608.37612,0.0,0.0,353.0321
229,5,14,8947848,URMA_WRITE,7,0ns,229,165.0,0,0,6,6,405.61044,608.53966,0.0,0.0,352.7475
230,6,13,8947848,URMA_WRITE,7,0ns,230,166.0,0,0,6,6,405.61044,608.52852,0.0,0.0,352.7669
231,7,12,8947848,URMA_WRITE,7,0ns,231,167.0,0,0,6,6,405.61044,608.53966,0.0,0.0,352.7475
232,8,3,8947849,URMA_WRITE,7,0ns,232,168.0,0,0,6,6,405.65954,608.40934,0.0,0.0,353.0597
233,9,2,8947849,URMA_WRITE,7,0ns,233,169.0,0,0,6,6,405.65954,608.62876,0.0,0.0,352.6781
234,10,1,8947849,URMA_WRITE,7,0ns,234,170.0,0,0,6,6,405.65954,608.54028,0.0,0.0,352.8319
235,11,0,8947849,URMA_WRITE,7,0ns,235,171.0,0,0,6,6,405.65954,608.62876,0.0,0.0,352.6781
236,12,7,8947849,URMA_WRITE,7,0ns,236,172.0,0,0,6,6,405.65654,608.53314,0.0,0.0,352.8391
237,13,6,8947849,URMA_WRITE,7,0ns,237,173.0,0,0,6,6,405.65654,608.532,0.0,0.0,352.8411
238,14,5,8947849,URMA_WRITE,7,0ns,238,174.0,0,0,6,6,405.65654,608.53314,0.0,0.0,352.8391
239,15,4,8947849,URMA_WRITE,7,0ns,239,175.0,0,0,6,6,405.65654,608.38264,0.0,0.0,353.101
