nodeId1,portId1,nodeId2,portId2,bandwidth,delay
19,1,74,3,400Gbps,1ns
19,2,82,3,400Gbps,1ns
19,3,90,3,400Gbps,1ns
19,4,98,3,400Gbps,1ns
19,5,106,3,400Gbps,1ns
19,6,114,3,400Gbps,1ns
19,7,122,3,400Gbps,1ns
20,0,66,4,400Gbps,1ns
20,1,74,4,400Gbps,1ns
20,2,82,4,400Gbps,1ns
20,3,90,4,400Gbps,1ns
20,4,98,4,400Gbps,1ns
20,5,106,4,400Gbps,1ns
20,6,114,4,400Gbps,1ns
20,7,122,4,400Gbps,1ns
21,0,66,5,400Gbps,1ns
21,1,74,5,400Gbps,1ns
21,2,82,5,400Gbps,1ns
21,3,90,5,400Gbps,1ns
21,4,98,5,400Gbps,1ns
21,5,106,5,400Gbps,1ns
21,6,114,5,400Gbps,1ns
21,7,122,5,400Gbps,1ns
22,0,66,6,400Gbps,1ns
22,1,74,6,400Gbps,1ns
22,2,82,6,400Gbps,1ns
22,3,90,6,400Gbps,1ns
22,4,98,6,400Gbps,1ns
22,5,106,6,400Gbps,1ns
22,6,114,6,400Gbps,1ns
22,7,122,6,400Gbps,1ns
23,0,66,7,400Gbps,1ns
23,1,74,7,400Gbps,1ns
23,2,82,7,400Gbps,1ns
23,3,90,7,400Gbps,1ns
23,4,98,7,400Gbps,1ns
23,5,106,7,400Gbps,1ns
23,6,114,7,400Gbps,1ns
23,7,122,7,400Gbps,1ns
24,0,67,0,400Gbps,1ns
24,1,75,0,400Gbps,1ns
24,2,83,0,400Gbps,1ns
24,3,91,0,400Gbps,1ns
24,4,99,0,400Gbps,1ns
24,5,107,0,400Gbps,1ns
24,6,115,0,400Gbps,1ns
24,7,123,0,400Gbps,1ns
25,0,67,1,400Gbps,1ns
25,1,75,1,400Gbps,1ns
25,2,83,1,400Gbps,1ns
25,3,91,1,400Gbps,1ns
25,4,99,1,400Gbps,1ns
25,5,107,1,400Gbps,1ns
25,6,115,1,400Gbps,1ns
25,7,123,1,400Gbps,1ns
26,0,67,2,400Gbps,1ns
26,1,75,2,400Gbps,1ns
26,2,83,2,400Gbps,1ns
26,3,91,2,400Gbps,1ns
26,4,99,2,400Gbps,1ns
26,5,107,2,400Gbps,1ns
26,6,115,2,400Gbps,1ns
26,7,123,2,400Gbps,1ns
27,0,67,3,400Gbps,1ns
27,1,75,3,400Gbps,1ns
27,2,83,3,400Gbps,1ns
27,3,91,3,400Gbps,1ns
27,4,99,3,400Gbps,1ns
27,5,107,3,400Gbps,1ns
27,6,115,3,400Gbps,1ns
27,7,123,3,400Gbps,1ns
28,0,67,4,400Gbps,1ns
28,1,75,4,400Gbps,1ns
28,2,83,4,400Gbps,1ns
28,3,91,4,400Gbps,1ns
28,4,99,4,400Gbps,1ns
28,5,107,4,400Gbps,1ns
28,6,115,4,400Gbps,1ns
28,7,123,4,400Gbps,1ns
29,0,67,5,400Gbps,1ns
29,1,75,5,400Gbps,1ns
29,2,83,5,400Gbps,1ns
29,3,91,5,400Gbps,1ns
29,4,99,5,400Gbps,1ns
29,5,107,5,400Gbps,1ns
29,6,115,5,400Gbps,1ns
29,7,123,5,400Gbps,1ns
30,0,67,6,400Gbps,1ns
30,1,75,6,400Gbps,1ns
30,2,83,6,400Gbps,1ns
30,3,91,6,400Gbps,1ns
30,4,99,6,400Gbps,1ns
30,5,107,6,400Gbps,1ns
30,6,115,6,400Gbps,1ns
30,7,123,6,400Gbps,1ns
31,0,67,7,400Gbps,1ns
31,1,75,7,400Gbps,1ns
31,2,83,7,400Gbps,1ns
31,3,91,7,400Gbps,1ns
31,4,99,7,400Gbps,1ns
31,5,107,7,400Gbps,1ns
31,6,115,7,400Gbps,1ns
31,7,123,7,400Gbps,1ns
32,0,68,0,400Gbps,1ns
32,1,76,0,400Gbps,1ns
32,2,84,0,400Gbps,1ns
32,3,92,0,400Gbps,1ns
32,4,100,0,400Gbps,1ns
32,5,108,0,400Gbps,1ns
32,6,116,0,400Gbps,1ns
32,7,124,0,400Gbps,1ns
33,0,68,1,400Gbps,1ns
33,1,76,1,400Gbps,1ns
33,2,84,1,400Gbps,1ns
