taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
57,3,12,8947848,URMA_WRITE,7,0ns,57,,0,0,0.0,602.39256,0.0,0.0,118.8308
58,3,10,8947848,URMA_WRITE,7,0ns,58,,0,0,0.0,595.7959,0.0,0.0,120.1465
59,3,11,8947848,URMA_WRITE,7,0ns,59,,0,0,0.0,602.8727,0.0,0.0,118.7362
60,4,3,8947849,URMA_WRITE,7,0ns,60,,0,0,0.0,604.29196,0.0,0.0,118.4573
61,4,5,8947849,URMA_WRITE,7,0ns,61,,0,0,0.0,195.87198,0.0,0.0,365.457
62,4,2,8947849,URMA_WRITE,7,0ns,62,,0,0,0.0,601.4646,0.0,0.0,119.0141
63,4,6,8947849,URMA_WRITE,7,0ns,63,,0,0,0.0,195.87198,0.0,0.0,365.457
64,4,1,8947849,URMA_WRITE,7,0ns,64,,0,0,0.0,594.0289,0.0,0.0,120.5039
65,4,7,8947849,URMA_WRITE,7,0ns,65,,0,0,0.0,195.87198,0.0,0.0,365.457
66,4,0,8947849,URMA_WRITE,7,0ns,66,,0,0,0.0,601.32148,0.0,0.0,119.0425
67,4,8,8947849,URMA_WRITE,7,0ns,67,,0,0,0.0,592.51148,0.0,0.0,120.8125
68,4,15,8947848,URMA_WRITE,7,0ns,68,,0,0,0.0,605.98218,0.0,0.0,118.1269
69,4,9,8947848,URMA_WRITE,7,0ns,69,,0,0,0.0,602.115,0.0,0.0,118.8856
70,4,14,8947848,URMA_WRITE,7,0ns,70,,0,0,0.0,601.83612,0.0,0.0,118.9407
71,4,10,8947848,URMA_WRITE,7,0ns,71,,0,0,0.0,605.43652,0.0,0.0,118.2333
72,4,13,8947848,URMA_WRITE,7,0ns,72,,0,0,0.0,600.51204,0.0,0.0,119.2029
73,4,11,8947848,URMA_WRITE,7,0ns,73,,0,0,0.0,605.12764,0.0,0.0,118.2937
74,4,12,8947848,URMA_WRITE,7,0ns,74,,0,0,0.0,604.9544,0.0,0.0,118.3276
75,5,4,8947849,URMA_WRITE,7,0ns,75,,0,0,0.0,195.87198,0.0,0.0,365.457
76,5,6,8947849,URMA_WRITE,7,0ns,76,,0,0,0.0,195.87198,0.0,0.0,365.457
77,5,3,8947849,URMA_WRITE,7,0ns,77,,0,0,0.0,601.95748,0.0,0.0,118.9167
78,5,7,8947849,URMA_WRITE,7,0ns,78,,0,0,0.0,195.87198,0.0,0.0,365.457
79,5,2,8947849,URMA_WRITE,7,0ns,79,,0,0,0.0,601.27852,0.0,0.0,119.051
80,5,8,8947849,URMA_WRITE,7,0ns,80,,0,0,0.0,608.27342,0.0,0.0,117.6819
81,5,1,8947849,URMA_WRITE,7,0ns,81,,0,0,0.0,608.8619,0.0,0.0,117.5682
82,5,9,8947849,URMA_WRITE,7,0ns,82,,0,0,0.0,607.43692,0.0,0.0,117.844
83,5,0,8947848,URMA_WRITE,7,0ns,83,,0,0,0.0,601.5038,0.0,0.0,119.0064
84,5,10,8947848,URMA_WRITE,7,0ns,84,,0,0,0.0,608.25342,0.0,0.0,117.6858
85,5,15,8947848,URMA_WRITE,7,0ns,85,,0,0,0.0,607.97454,0.0,0.0,117.7398
86,5,11,8947848,URMA_WRITE,7,0ns,86,,0,0,0.0,601.76176,0.0,0.0,118.9554
87,5,14,8947848,URMA_WRITE,7,0ns,87,,0,0,0.0,604.39428,0.0,0.0,118.4372
88,5,12,8947848,URMA_WRITE,7,0ns,88,,0,0,0.0,601.85232,0.0,0.0,118.9375
89,5,13,8947848,URMA_WRITE,7,0ns,89,,0,0,0.0,604.9206,0.0,0.0,118.3342
90,6,5,8947849,URMA_WRITE,7,0ns,90,,0,0,0.0,195.87198,0.0,0.0,365.457
91,6,7,8947849,URMA_WRITE,7,0ns,91,,0,0,0.0,195.87198,0.0,0.0,365.457
92,6,4,8947849,URMA_WRITE,7,0ns,92,,0,0,0.0,195.87198,0.0,0.0,365.457
93,6,8,8947849,URMA_WRITE,7,0ns,93,,0,0,0.0,608.621,0.0,0.0,117.6147
94,6,3,8947849,URMA_WRITE,7,0ns,94,,0,0,0.0,604.5742,0.0,0.0,118.402
95,6,9,8947849,URMA_WRITE,7,0ns,95,,0,0,0.0,601.47708,0.0,0.0,119.0117
96,6,2,8947849,URMA_WRITE,7,0ns,96,,0,0,0.0,601.92304,0.0,0.0,118.9235
97,6,10,8947849,URMA_WRITE,7,0ns,97,,0,0,0.0,606.798,0.0,0.0,117.9681
98,6,1,8947848,URMA_WRITE,7,0ns,98,,0,0,0.0,601.75564,0.0,0.0,118.9566
99,6,11,8947848,URMA_WRITE,7,0ns,99,,0,0,0.0,606.7214,0.0,0.0,117.983
100,6,0,8947848,URMA_WRITE,7,0ns,100,,0,0,0.0,607.46476,0.0,0.0,117.8386
101,6,12,8947848,URMA_WRITE,7,0ns,101,,0,0,0.0,601.16916,0.0,0.0,119.0726
102,6,15,8947848,URMA_WRITE,7,0ns,102,,0,0,0.0,608.08372,0.0,0.0,117.7186
103,6,13,8947848,URMA_WRITE,7,0ns,103,,0,0,0.0,601.34906,0.0,0.0,119.037
104,6,14,8947848,URMA_WRITE,7,0ns,104,,0,0,0.0,606.88892,0.0,0.0,117.9504
105,7,6,8947849,URMA_WRITE,7,0ns,105,,0,0,0.0,195.87198,0.0,0.0,365.457
106,7,8,8947849,URMA_WRITE,7,0ns,106,,0,0,0.0,607.04858,0.0,0.0,117.9194
107,7,5,8947849,URMA_WRITE,7,0ns,107,,0,0,0.0,195.87198,0.0,0.0,365.457
108,7,9,8947849,URMA_WRITE,7,0ns,108,,0,0,0.0,602.6915,0.0,0.0,118.7719
109,7,4,8947849,URMA_WRITE,7,0ns,109,,0,0,0.0,195.87198,0.0,0.0,365.457
110,7,10,8947849,URMA_WRITE,7,0ns,110,,0,0,0.0,602.7615,0.0,0.0,118.7581
111,7,3,8947849,URMA_WRITE,7,0ns,111,,0,0,0.0,596.30938,0.0,0.0,120.043
112,7,11,8947849,URMA_WRITE,7,0ns,112,,0,0,0.0,602.1734,0.0,0.0,118.8741
113,7,2,8947848,URMA_WRITE,7,0ns,113,,0,0,0.0,602.0867,0.0,0.0,118.8912
114,7,12,8947848,URMA_WRITE,7,0ns,114,,0,0,0.0,600.05434,0.0,0.0,119.2938
115,7,1,8947848,URMA_WRITE,7,0ns,115,,0,0,0.0,599.315,0.0,0.0,119.441
116,7,13,8947848,URMA_WRITE,7,0ns,116,,0,0,0.0,601.94588,0.0,0.0,118.919
117,7,0,8947848,URMA_WRITE,7,0ns,117,,0,0,0.0,602.80906,0.0,0.0,118.7487
118,7,14,8947848,URMA_WRITE,7,0ns,118,,0,0,0.0,600.20328,0.0,0.0,119.2642
119,7,15,8947848,URMA_WRITE,7,0ns,119,,0,0,0.0,598.1065,0.0,0.0,119.6823
120,8,7,8947849,URMA_WRITE,7,0ns,120,,0,0,0.0,607.1151,0.0,0.0,117.9065
121,8,9,8947849,URMA_WRITE,7,0ns,121,,0,0,0.0,195.87198,0.0,0.0,365.457
122,8,6,8947849,URMA_WRITE,7,0ns,122,,0,0,0.0,608.02456,0.0,0.0,117.7301
123,8,10,8947849,URMA_WRITE,7,0ns,123,,0,0,0.0,195.87198,0.0,0.0,365.457
124,8,5,8947849,URMA_WRITE,7,0ns,124,,0,0,0.0,606.76096,0.0,0.0,117.9753
125,8,11,8947849,URMA_WRITE,7,0ns,125,,0,0,0.0,195.87198,0.0,0.0,365.457
126,8,4,8947849,URMA_WRITE,7,0ns,126,,0,0,0.0,597.65462,0.0,0.0,119.7728
127,8,12,8947849,URMA_WRITE,7,0ns,127,,0,0,0.0,604.29328,0.0,0.0,118.457
128,8,3,8947848,URMA_WRITE,7,0ns,128,,0,0,0.0,602.03006,0.0,0.0,118.9023
129,8,13,8947848,URMA_WRITE,7,0ns,129,,0,0,0.0,603.32966,0.0,0.0,118.6462
130,8,2,8947848,URMA_WRITE,7,0ns,130,,0,0,0.0,600.81214,0.0,0.0,119.1434
131,8,14,8947848,URMA_WRITE,7,0ns,131,,0,0,0.0,605.06342,0.0,0.0,118.3062
132,8,1,8947848,URMA_WRITE,7,0ns,132,,0,0,0.0,596.90404,0.0,0.0,119.9234
133,8,15,8947848,URMA_WRITE,7,0ns,133,,0,0,0.0,597.9747,0.0,0.0,119.7087
134,8,0,8947848,URMA_WRITE,7,0ns,134,,0,0,0.0,599.88526,0.0,0.0,119.3275
135,9,8,8947849,URMA_WRITE,7,0ns,135,,0,0,0.0,195.87198,0.0,0.0,365.457
136,9,10,8947849,URMA_WRITE,7,0ns,136,,0,0,0.0,195.87198,0.0,0.0,365.457
137,9,7,8947849,URMA_WRITE,7,0ns,137,,0,0,0.0,602.48744,0.0,0.0,118.8121
138,9,11,8947849,URMA_WRITE,7,0ns,138,,0,0,0.0,195.87198,0.0,0.0,365.457
139,9,6,8947849,URMA_WRITE,7,0ns,139,,0,0,0.0,595.57676,0.0,0.0,120.1907
140,9,12,8947849,URMA_WRITE,7,0ns,140,,0,0,0.0,598.51286,0.0,0.0,119.6011
141,9,5,8947849,URMA_WRITE,7,0ns,141,,0,0,0.0,607.91538,0.0,0.0,117.7512
142,9,13,8947849,URMA_WRITE,7,0ns,142,,0,0,0.0,598.58732,0.0,0.0,119.5862
143,9,4,8947848,URMA_WRITE,7,0ns,143,,0,0,0.0,600.9465,0.0,0.0,119.1167
144,9,14,8947848,URMA_WRITE,7,0ns,144,,0,0,0.0,598.50286,0.0,0.0,119.6031
145,9,3,8947848,URMA_WRITE,7,0ns,145,,0,0,0.0,599.7842,0.0,0.0,119.3476
146,9,15,8947848,URMA_WRITE,7,0ns,146,,0,0,0.0,601.27616,0.0,0.0,119.0514
147,9,2,8947848,URMA_WRITE,7,0ns,147,,0,0,0.0,595.10116,0.0,0.0,120.2867
148,9,0,8947848,URMA_WRITE,7,0ns,148,,0,0,0.0,597.53844,0.0,0.0,119.7961
149,9,1,8947848,URMA_WRITE,7,0ns,149,,0,0,0.0,606.66458,0.0,0.0,117.994
