taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
54,6,5,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
55,6,57,236299,URMA_WRITE,1,0ns,0,,0.0,9.85762,0.001,9.87058,191.7696
56,7,0,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
57,7,1,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
58,7,2,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
59,7,3,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
60,7,4,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
61,7,5,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
62,7,6,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
63,7,56,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
64,8,9,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
65,8,10,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
66,8,11,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
67,8,12,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
68,8,13,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
69,8,14,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
70,8,15,236299,URMA_WRITE,1,0ns,0,,0.0,4.89998,0.001,4.90306,385.7959
71,8,55,236299,URMA_WRITE,1,0ns,0,,0.0,5.09316,0.001,5.10612,371.1629
