taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
57,3,12,8947848,URMA_WRITE,7,0ns,57,,0,0,0.0,651.686,0.0,0.0,109.8424
58,3,10,8947848,URMA_WRITE,7,0ns,58,,0,0,0.0,643.5909,0.0,0.0,111.224
59,3,11,8947848,URMA_WRITE,7,0ns,59,,0,0,0.0,652.52674,0.0,0.0,109.7009
60,4,3,8947849,URMA_WRITE,7,0ns,60,,0,0,0.0,654.35388,0.0,0.0,109.3946
61,4,5,8947849,URMA_WRITE,7,0ns,61,,0,0,0.0,214.85406,0.0,0.0,333.1694
62,4,2,8947849,URMA_WRITE,7,0ns,62,,0,0,0.0,650.49648,0.0,0.0,110.0433
63,4,6,8947849,URMA_WRITE,7,0ns,63,,0,0,0.0,214.85406,0.0,0.0,333.1694
64,4,1,8947849,URMA_WRITE,7,0ns,64,,0,0,0.0,641.91136,0.0,0.0,111.5151
65,4,7,8947849,URMA_WRITE,7,0ns,65,,0,0,0.0,214.85406,0.0,0.0,333.1694
66,4,0,8947849,URMA_WRITE,7,0ns,66,,0,0,0.0,650.6206,0.0,0.0,110.0223
67,4,8,8947849,URMA_WRITE,7,0ns,67,,0,0,0.0,640.56648,0.0,0.0,111.7492
68,4,15,8947848,URMA_WRITE,7,0ns,68,,0,0,0.0,657.2397,0.0,0.0,108.9143
69,4,9,8947848,URMA_WRITE,7,0ns,69,,0,0,0.0,653.47712,0.0,0.0,109.5414
70,4,14,8947848,URMA_WRITE,7,0ns,70,,0,0,0.0,651.98104,0.0,0.0,109.7927
71,4,10,8947848,URMA_WRITE,7,0ns,71,,0,0,0.0,655.78124,0.0,0.0,109.1565
72,4,13,8947848,URMA_WRITE,7,0ns,72,,0,0,0.0,651.49112,0.0,0.0,109.8753
73,4,11,8947848,URMA_WRITE,7,0ns,73,,0,0,0.0,655.32868,0.0,0.0,109.2319
74,4,12,8947848,URMA_WRITE,7,0ns,74,,0,0,0.0,652.00656,0.0,0.0,109.7884
75,5,4,8947849,URMA_WRITE,7,0ns,75,,0,0,0.0,214.85406,0.0,0.0,333.1694
76,5,6,8947849,URMA_WRITE,7,0ns,76,,0,0,0.0,214.85406,0.0,0.0,333.1694
77,5,3,8947849,URMA_WRITE,7,0ns,77,,0,0,0.0,652.1504,0.0,0.0,109.7642
78,5,7,8947849,URMA_WRITE,7,0ns,78,,0,0,0.0,214.85406,0.0,0.0,333.1694
79,5,2,8947849,URMA_WRITE,7,0ns,79,,0,0,0.0,650.09176,0.0,0.0,110.1118
80,5,8,8947849,URMA_WRITE,7,0ns,80,,0,0,0.0,656.20498,0.0,0.0,109.086
81,5,1,8947849,URMA_WRITE,7,0ns,81,,0,0,0.0,662.19206,0.0,0.0,108.0997
82,5,9,8947849,URMA_WRITE,7,0ns,82,,0,0,0.0,655.1472,0.0,0.0,109.2622
83,5,0,8947848,URMA_WRITE,7,0ns,83,,0,0,0.0,649.28412,0.0,0.0,110.2488
84,5,10,8947848,URMA_WRITE,7,0ns,84,,0,0,0.0,656.09234,0.0,0.0,109.1047
85,5,15,8947848,URMA_WRITE,7,0ns,85,,0,0,0.0,656.10234,0.0,0.0,109.1031
86,5,11,8947848,URMA_WRITE,7,0ns,86,,0,0,0.0,652.50212,0.0,0.0,109.7051
87,5,14,8947848,URMA_WRITE,7,0ns,87,,0,0,0.0,652.33764,0.0,0.0,109.7327
88,5,12,8947848,URMA_WRITE,7,0ns,88,,0,0,0.0,651.6862,0.0,0.0,109.8424
89,5,13,8947848,URMA_WRITE,7,0ns,89,,0,0,0.0,652.9606,0.0,0.0,109.628
90,6,5,8947849,URMA_WRITE,7,0ns,90,,0,0,0.0,214.85406,0.0,0.0,333.1694
91,6,7,8947849,URMA_WRITE,7,0ns,91,,0,0,0.0,214.85406,0.0,0.0,333.1694
92,6,4,8947849,URMA_WRITE,7,0ns,92,,0,0,0.0,214.85406,0.0,0.0,333.1694
93,6,8,8947849,URMA_WRITE,7,0ns,93,,0,0,0.0,658.53724,0.0,0.0,108.6997
94,6,3,8947849,URMA_WRITE,7,0ns,94,,0,0,0.0,652.02316,0.0,0.0,109.7857
95,6,9,8947849,URMA_WRITE,7,0ns,95,,0,0,0.0,651.69516,0.0,0.0,109.8409
96,6,2,8947849,URMA_WRITE,7,0ns,96,,0,0,0.0,652.4072,0.0,0.0,109.721
97,6,10,8947849,URMA_WRITE,7,0ns,97,,0,0,0.0,657.16016,0.0,0.0,108.9275
98,6,1,8947848,URMA_WRITE,7,0ns,98,,0,0,0.0,654.02984,0.0,0.0,109.4488
99,6,11,8947848,URMA_WRITE,7,0ns,99,,0,0,0.0,657.77772,0.0,0.0,108.8252
100,6,0,8947848,URMA_WRITE,7,0ns,100,,0,0,0.0,657.97548,0.0,0.0,108.7925
101,6,12,8947848,URMA_WRITE,7,0ns,101,,0,0,0.0,652.12828,0.0,0.0,109.7679
102,6,15,8947848,URMA_WRITE,7,0ns,102,,0,0,0.0,658.26636,0.0,0.0,108.7444
103,6,13,8947848,URMA_WRITE,7,0ns,103,,0,0,0.0,652.13828,0.0,0.0,109.7663
104,6,14,8947848,URMA_WRITE,7,0ns,104,,0,0,0.0,656.89408,0.0,0.0,108.9716
105,7,6,8947849,URMA_WRITE,7,0ns,105,,0,0,0.0,214.85406,0.0,0.0,333.1694
106,7,8,8947849,URMA_WRITE,7,0ns,106,,0,0,0.0,655.5839,0.0,0.0,109.1894
107,7,5,8947849,URMA_WRITE,7,0ns,107,,0,0,0.0,214.85406,0.0,0.0,333.1694
108,7,9,8947849,URMA_WRITE,7,0ns,108,,0,0,0.0,652.27494,0.0,0.0,109.7433
109,7,4,8947849,URMA_WRITE,7,0ns,109,,0,0,0.0,214.85406,0.0,0.0,333.1694
110,7,10,8947849,URMA_WRITE,7,0ns,110,,0,0,0.0,652.32494,0.0,0.0,109.7349
111,7,3,8947849,URMA_WRITE,7,0ns,111,,0,0,0.0,645.14322,0.0,0.0,110.9564
112,7,11,8947849,URMA_WRITE,7,0ns,112,,0,0,0.0,651.54904,0.0,0.0,109.8655
113,7,2,8947848,URMA_WRITE,7,0ns,113,,0,0,0.0,650.89808,0.0,0.0,109.9754
114,7,12,8947848,URMA_WRITE,7,0ns,114,,0,0,0.0,649.82396,0.0,0.0,110.1572
115,7,1,8947848,URMA_WRITE,7,0ns,115,,0,0,0.0,647.3507,0.0,0.0,110.5781
116,7,13,8947848,URMA_WRITE,7,0ns,116,,0,0,0.0,649.83496,0.0,0.0,110.1553
117,7,0,8947848,URMA_WRITE,7,0ns,117,,0,0,0.0,653.92626,0.0,0.0,109.4661
118,7,14,8947848,URMA_WRITE,7,0ns,118,,0,0,0.0,652.62436,0.0,0.0,109.6845
119,7,15,8947848,URMA_WRITE,7,0ns,119,,0,0,0.0,648.24724,0.0,0.0,110.4251
