taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,6934583,URMA_WRITE,7,0ns,0,
1,0,4,7605671,URMA_WRITE,7,0ns,1,
2,0,5,7829367,URMA_WRITE,7,0ns,2,
3,0,6,8053064,URMA_WRITE,7,0ns,3,
4,0,7,8276760,URMA_WRITE,7,0ns,4,
5,4,5,6934583,URMA_WRITE,7,0ns,5,
6,4,8,7605671,URMA_WRITE,7,0ns,6,
7,4,9,7829367,URMA_WRITE,7,0ns,7,
8,4,10,8053064,URMA_WRITE,7,0ns,8,
9,4,11,8276760,URMA_WRITE,7,0ns,9,
10,8,9,6934583,URMA_WRITE,7,0ns,10,
11,8,12,7605671,URMA_WRITE,7,0ns,11,
12,8,13,7829367,URMA_WRITE,7,0ns,12,
13,8,14,8053064,URMA_WRITE,7,0ns,13,
14,8,15,8276760,URMA_WRITE,7,0ns,14,
15,12,13,6934583,URMA_WRITE,7,0ns,15,
16,12,0,7605671,URMA_WRITE,7,0ns,16,
17,12,1,7829367,URMA_WRITE,7,0ns,17,
18,12,2,8053064,URMA_WRITE,7,0ns,18,
19,12,3,8276760,URMA_WRITE,7,0ns,19,
20,1,2,6934583,URMA_WRITE,7,0ns,20,
21,1,7,8053064,URMA_WRITE,7,0ns,21,
22,1,4,7381975,URMA_WRITE,7,0ns,22,
23,1,5,7605671,URMA_WRITE,7,0ns,23,
24,1,6,7829367,URMA_WRITE,7,0ns,24,
25,5,6,6934583,URMA_WRITE,7,0ns,25,
26,5,11,8053064,URMA_WRITE,7,0ns,26,
27,5,8,7381975,URMA_WRITE,7,0ns,27,
28,5,9,7605671,URMA_WRITE,7,0ns,28,
29,5,10,7829367,URMA_WRITE,7,0ns,29,
30,9,10,6934583,URMA_WRITE,7,0ns,30,
31,9,15,8053064,URMA_WRITE,7,0ns,31,
32,9,12,7381975,URMA_WRITE,7,0ns,32,
33,9,13,7605671,URMA_WRITE,7,0ns,33,
34,9,14,7829367,URMA_WRITE,7,0ns,34,
35,13,14,6934583,URMA_WRITE,7,0ns,35,
36,13,3,8053064,URMA_WRITE,7,0ns,36,
37,13,0,7381975,URMA_WRITE,7,0ns,37,
38,13,1,7605671,URMA_WRITE,7,0ns,38,
39,13,2,7829367,URMA_WRITE,7,0ns,39,
40,2,3,6934583,URMA_WRITE,7,0ns,40,
41,2,6,7605671,URMA_WRITE,7,0ns,41,
42,2,7,7829367,URMA_WRITE,7,0ns,42,
43,2,4,7158279,URMA_WRITE,7,0ns,43,
44,2,5,7381975,URMA_WRITE,7,0ns,44,
45,6,7,6934583,URMA_WRITE,7,0ns,45,
46,6,10,7605671,URMA_WRITE,7,0ns,46,
47,6,11,7829367,URMA_WRITE,7,0ns,47,
48,6,8,7158279,URMA_WRITE,7,0ns,48,
49,6,9,7381975,URMA_WRITE,7,0ns,49,
50,10,11,6934583,URMA_WRITE,7,0ns,50,
51,10,14,7605671,URMA_WRITE,7,0ns,51,
52,10,15,7829367,URMA_WRITE,7,0ns,52,
53,10,12,7158279,URMA_WRITE,7,0ns,53,
54,10,13,7381975,URMA_WRITE,7,0ns,54,
55,14,15,6934583,URMA_WRITE,7,0ns,55,
56,14,2,7605671,URMA_WRITE,7,0ns,56,
57,14,3,7829367,URMA_WRITE,7,0ns,57,
58,14,0,7158279,URMA_WRITE,7,0ns,58,
59,14,1,7381975,URMA_WRITE,7,0ns,59,
60,3,0,9618937,URMA_WRITE,7,0ns,60,
61,3,5,7158279,URMA_WRITE,7,0ns,61,
62,3,6,7381975,URMA_WRITE,7,0ns,62,
63,3,7,7605671,URMA_WRITE,7,0ns,63,
64,3,4,6934583,URMA_WRITE,7,0ns,64,
65,7,4,9618937,URMA_WRITE,7,0ns,65,
66,7,9,7158279,URMA_WRITE,7,0ns,66,
67,7,10,7381975,URMA_WRITE,7,0ns,67,
68,7,11,7605671,URMA_WRITE,7,0ns,68,
69,7,8,6934583,URMA_WRITE,7,0ns,69,
70,11,8,9618937,URMA_WRITE,7,0ns,70,
71,11,13,7158279,URMA_WRITE,7,0ns,71,
72,11,14,7381975,URMA_WRITE,7,0ns,72,
73,11,15,7605671,URMA_WRITE,7,0ns,73,
74,11,12,6934583,URMA_WRITE,7,0ns,74,
75,15,12,9618937,URMA_WRITE,7,0ns,75,
76,15,1,7158279,URMA_WRITE,7,0ns,76,
77,15,2,7381975,URMA_WRITE,7,0ns,77,
78,15,3,7605671,URMA_WRITE,7,0ns,78,
