taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,4753545,URMA_WRITE,7,0ns,0,
1,0,4,6431266,URMA_WRITE,7,0ns,1,
2,0,5,6990507,URMA_WRITE,7,0ns,2,
3,0,6,7549747,URMA_WRITE,7,0ns,3,
4,0,7,8108988,URMA_WRITE,7,0ns,4,
5,4,5,4753545,URMA_WRITE,7,0ns,5,
6,4,8,6431266,URMA_WRITE,7,0ns,6,
7,4,9,6990507,URMA_WRITE,7,0ns,7,
8,4,10,7549747,URMA_WRITE,7,0ns,8,
9,4,11,8108988,URMA_WRITE,7,0ns,9,
10,8,9,4753545,URMA_WRITE,7,0ns,10,
11,8,12,6431266,URMA_WRITE,7,0ns,11,
12,8,13,6990507,URMA_WRITE,7,0ns,12,
13,8,14,7549747,URMA_WRITE,7,0ns,13,
14,8,15,8108988,URMA_WRITE,7,0ns,14,
15,12,13,4753545,URMA_WRITE,7,0ns,15,
16,12,0,6431266,URMA_WRITE,7,0ns,16,
17,12,1,6990507,URMA_WRITE,7,0ns,17,
18,12,2,7549747,URMA_WRITE,7,0ns,18,
19,12,3,8108988,URMA_WRITE,7,0ns,19,
20,1,2,4753545,URMA_WRITE,7,0ns,20,
21,1,7,7549747,URMA_WRITE,7,0ns,21,
22,1,4,5872026,URMA_WRITE,7,0ns,22,
23,1,5,6431266,URMA_WRITE,7,0ns,23,
24,1,6,6990507,URMA_WRITE,7,0ns,24,
25,5,6,4753545,URMA_WRITE,7,0ns,25,
26,5,11,7549747,URMA_WRITE,7,0ns,26,
27,5,8,5872026,URMA_WRITE,7,0ns,27,
28,5,9,6431266,URMA_WRITE,7,0ns,28,
29,5,10,6990507,URMA_WRITE,7,0ns,29,
30,9,10,4753545,URMA_WRITE,7,0ns,30,
31,9,15,7549747,URMA_WRITE,7,0ns,31,
32,9,12,5872026,URMA_WRITE,7,0ns,32,
33,9,13,6431266,URMA_WRITE,7,0ns,33,
34,9,14,6990507,URMA_WRITE,7,0ns,34,
35,13,14,4753545,URMA_WRITE,7,0ns,35,
36,13,3,7549747,URMA_WRITE,7,0ns,36,
37,13,0,5872026,URMA_WRITE,7,0ns,37,
38,13,1,6431266,URMA_WRITE,7,0ns,38,
39,13,2,6990507,URMA_WRITE,7,0ns,39,
40,2,3,4753545,URMA_WRITE,7,0ns,40,
41,2,6,6431266,URMA_WRITE,7,0ns,41,
42,2,7,6990507,URMA_WRITE,7,0ns,42,
43,2,4,5312785,URMA_WRITE,7,0ns,43,
44,2,5,5872026,URMA_WRITE,7,0ns,44,
45,6,7,4753545,URMA_WRITE,7,0ns,45,
46,6,10,6431266,URMA_WRITE,7,0ns,46,
47,6,11,6990507,URMA_WRITE,7,0ns,47,
48,6,8,5312785,URMA_WRITE,7,0ns,48,
49,6,9,5872026,URMA_WRITE,7,0ns,49,
50,10,11,4753545,URMA_WRITE,7,0ns,50,
51,10,14,6431266,URMA_WRITE,7,0ns,51,
52,10,15,6990507,URMA_WRITE,7,0ns,52,
53,10,12,5312785,URMA_WRITE,7,0ns,53,
54,10,13,5872026,URMA_WRITE,7,0ns,54,
55,14,15,4753545,URMA_WRITE,7,0ns,55,
56,14,2,6431266,URMA_WRITE,7,0ns,56,
57,14,3,6990507,URMA_WRITE,7,0ns,57,
58,14,0,5312785,URMA_WRITE,7,0ns,58,
59,14,1,5872026,URMA_WRITE,7,0ns,59,
60,3,0,11464431,URMA_WRITE,7,0ns,60,
61,3,5,5312785,URMA_WRITE,7,0ns,61,
62,3,6,5872026,URMA_WRITE,7,0ns,62,
63,3,7,6431266,URMA_WRITE,7,0ns,63,
64,3,4,4753545,URMA_WRITE,7,0ns,64,
65,7,4,11464431,URMA_WRITE,7,0ns,65,
66,7,9,5312785,URMA_WRITE,7,0ns,66,
67,7,10,5872026,URMA_WRITE,7,0ns,67,
