taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
57,3,12,8947848,URMA_WRITE,7,0ns,57,,0,0,0.0,1593.52986,0.0,0.0,44.9209
58,3,10,8947848,URMA_WRITE,7,0ns,58,,0,0,0.0,425.68836,0.0,0.0,168.1577
59,3,11,8947848,URMA_WRITE,7,0ns,59,,0,0,0.0,662.80362,0.0,0.0,108.0
60,4,3,8947849,URMA_WRITE,7,0ns,60,,0,0,0.0,487.26948,0.0,0.0,146.906
61,4,5,8947849,URMA_WRITE,7,0ns,61,,0,0,0.0,195.87198,0.0,0.0,365.457
62,4,2,8947849,URMA_WRITE,7,0ns,62,,0,0,0.0,535.3646,0.0,0.0,133.7085
63,4,6,8947849,URMA_WRITE,7,0ns,63,,0,0,0.0,195.87198,0.0,0.0,365.457
64,4,1,8947849,URMA_WRITE,7,0ns,64,,0,0,0.0,642.84732,0.0,0.0,111.3527
65,4,7,8947849,URMA_WRITE,7,0ns,65,,0,0,0.0,195.87198,0.0,0.0,365.457
66,4,0,8947849,URMA_WRITE,7,0ns,66,,0,0,0.0,857.90508,0.0,0.0,83.4391
67,4,8,8947849,URMA_WRITE,7,0ns,67,,0,0,0.0,806.01376,0.0,0.0,88.8109
68,4,15,8947848,URMA_WRITE,7,0ns,68,,0,0,0.0,577.76644,0.0,0.0,123.8957
69,4,9,8947848,URMA_WRITE,7,0ns,69,,0,0,0.0,1007.6733,0.0,0.0,71.0377
70,4,14,8947848,URMA_WRITE,7,0ns,70,,0,0,0.0,745.66316,0.0,0.0,95.9988
71,4,10,8947848,URMA_WRITE,7,0ns,71,,0,0,0.0,980.33396,0.0,0.0,73.0188
72,4,13,8947848,URMA_WRITE,7,0ns,72,,0,0,0.0,537.5226,0.0,0.0,133.1717
73,4,11,8947848,URMA_WRITE,7,0ns,73,,0,0,0.0,548.36812,0.0,0.0,130.5378
74,4,12,8947848,URMA_WRITE,7,0ns,74,,0,0,0.0,980.34396,0.0,0.0,73.018
75,5,4,8947849,URMA_WRITE,7,0ns,75,,0,0,0.0,195.87198,0.0,0.0,365.457
76,5,6,8947849,URMA_WRITE,7,0ns,76,,0,0,0.0,195.87198,0.0,0.0,365.457
77,5,3,8947849,URMA_WRITE,7,0ns,77,,0,0,0.0,841.35426,0.0,0.0,85.0804
78,5,7,8947849,URMA_WRITE,7,0ns,78,,0,0,0.0,195.87198,0.0,0.0,365.457
79,5,2,8947849,URMA_WRITE,7,0ns,79,,0,0,0.0,432.59652,0.0,0.0,165.4724
80,5,8,8947849,URMA_WRITE,7,0ns,80,,0,0,0.0,408.80172,0.0,0.0,175.1039
81,5,1,8947849,URMA_WRITE,7,0ns,81,,0,0,0.0,792.45876,0.0,0.0,90.33
82,5,9,8947849,URMA_WRITE,7,0ns,82,,0,0,0.0,986.53986,0.0,0.0,72.5595
83,5,0,8947848,URMA_WRITE,7,0ns,83,,0,0,0.0,582.6154,0.0,0.0,122.8646
84,5,10,8947848,URMA_WRITE,7,0ns,84,,0,0,0.0,792.10338,0.0,0.0,90.3705
85,5,15,8947848,URMA_WRITE,7,0ns,85,,0,0,0.0,792.00458,0.0,0.0,90.3818
86,5,11,8947848,URMA_WRITE,7,0ns,86,,0,0,0.0,536.3182,0.0,0.0,133.4707
87,5,14,8947848,URMA_WRITE,7,0ns,87,,0,0,0.0,796.20288,0.0,0.0,89.9052
88,5,12,8947848,URMA_WRITE,7,0ns,88,,0,0,0.0,792.5689,0.0,0.0,90.3174
89,5,13,8947848,URMA_WRITE,7,0ns,89,,0,0,0.0,792.04898,0.0,0.0,90.3767
90,6,5,8947849,URMA_WRITE,7,0ns,90,,0,0,0.0,195.87198,0.0,0.0,365.457
91,6,7,8947849,URMA_WRITE,7,0ns,91,,0,0,0.0,195.87198,0.0,0.0,365.457
92,6,4,8947849,URMA_WRITE,7,0ns,92,,0,0,0.0,195.87198,0.0,0.0,365.457
93,6,8,8947849,URMA_WRITE,7,0ns,93,,0,0,0.0,1385.93008,0.0,0.0,51.6496
94,6,3,8947849,URMA_WRITE,7,0ns,94,,0,0,0.0,1385.92008,0.0,0.0,51.65
95,6,9,8947849,URMA_WRITE,7,0ns,95,,0,0,0.0,367.8986,0.0,0.0,194.5721
96,6,2,8947849,URMA_WRITE,7,0ns,96,,0,0,0.0,765.46788,0.0,0.0,93.5151
97,6,10,8947849,URMA_WRITE,7,0ns,97,,0,0,0.0,1377.57922,0.0,0.0,51.9627
98,6,1,8947848,URMA_WRITE,7,0ns,98,,0,0,0.0,1235.3651,0.0,0.0,57.9446
99,6,11,8947848,URMA_WRITE,7,0ns,99,,0,0,0.0,1178.78884,0.0,0.0,60.7257
100,6,0,8947848,URMA_WRITE,7,0ns,100,,0,0,0.0,1305.3336,0.0,0.0,54.8387
101,6,12,8947848,URMA_WRITE,7,0ns,101,,0,0,0.0,1385.94008,0.0,0.0,51.6493
102,6,15,8947848,URMA_WRITE,7,0ns,102,,0,0,0.0,820.40628,0.0,0.0,87.2528
103,6,13,8947848,URMA_WRITE,7,0ns,103,,0,0,0.0,547.15648,0.0,0.0,130.8269
104,6,14,8947848,URMA_WRITE,7,0ns,104,,0,0,0.0,1385.95008,0.0,0.0,51.6489
105,7,6,8947849,URMA_WRITE,7,0ns,105,,0,0,0.0,195.87198,0.0,0.0,365.457
106,7,8,8947849,URMA_WRITE,7,0ns,106,,0,0,0.0,1584.5452,0.0,0.0,45.1756
107,7,5,8947849,URMA_WRITE,7,0ns,107,,0,0,0.0,195.87198,0.0,0.0,365.457
108,7,9,8947849,URMA_WRITE,7,0ns,108,,0,0,0.0,1584.58962,0.0,0.0,45.1743
109,7,4,8947849,URMA_WRITE,7,0ns,109,,0,0,0.0,195.87198,0.0,0.0,365.457
110,7,10,8947849,URMA_WRITE,7,0ns,110,,0,0,0.0,429.38694,0.0,0.0,166.7093
