taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
0,0,1,1543604,URMA_WRITE,7,0ns,0,,0,0,0,,,,,
1,0,2,1684639,URMA_WRITE,7,0ns,1,,0,0,0,,,,,
2,0,3,1264930,URMA_WRITE,7,0ns,2,,0,0,0,,,,,
3,0,4,1048576,URMA_WRITE,6,0ns,3,10 154,0,1,1,2,3,3,10,154
4,0,5,2052856,URMA_WRITE,4,0ns,4,,0,1,1,0,1,1,,
5,0,6,1373576,URMA_WRITE,3,0ns,5,7,0,1,1,1,0,0,7,
6,0,7,1237529,URMA_WRITE,3,0ns,6,5 36,0,1,1,2,0,0,5,36
7,0,8,2097152,URMA_WRITE,3,0ns,7,,0,2,1,0,0,0,,
8,0,9,1090135,URMA_WRITE,5,0ns,8,14 23,0,2,1,2,2,2,14,23
9,0,10,1890773,URMA_WRITE,5,0ns,9,205,0,2,1,0,2,2,,205
10,0,11,1655440,URMA_WRITE,6,0ns,10,13 85,0,2,1,1,3,3,13,85
11,0,12,1171987,URMA_WRITE,4,0ns,11,12 116,0,3,1,2,1,1,12,116
12,0,13,1513993,URMA_WRITE,4,0ns,12,4 132,0,3,1,1,1,1,4,132
13,0,14,1804064,URMA_WRITE,6,0ns,13,,0,3,1,0,3,3,,
14,0,15,1628821,URMA_WRITE,5,0ns,14,9 134,0,3,1,1,2,2,9,134
15,1,0,1410679,URMA_WRITE,7,0ns,15,,0,0,0,,,,,
16,1,2,1271258,URMA_WRITE,7,0ns,16,,0,0,0,,,,,
17,1,3,1597441,URMA_WRITE,7,0ns,17,,0,0,0,,,,,
18,1,4,1498206,URMA_WRITE,4,0ns,18,29,0,1,1,1,0,1,29,
19,1,5,1102346,URMA_WRITE,3,0ns,19,25 185,0,1,1,2,3,0,25,185
20,1,6,1594368,URMA_WRITE,5,0ns,20,26,0,1,1,1,1,2,26,
21,1,7,1618472,URMA_WRITE,6,0ns,21,28 127,0,1,1,1,2,3,28,127
22,1,8,1454239,URMA_WRITE,4,0ns,22,18 112,0,2,1,2,0,1,18,112
23,1,9,1394224,URMA_WRITE,5,0ns,23,20 234,0,2,1,2,1,2,20,234
24,1,10,1698378,URMA_WRITE,3,0ns,24,235,0,2,1,0,3,0,,235
25,1,11,1655996,URMA_WRITE,3,0ns,25,24,0,2,1,1,3,0,24,
26,1,12,1829540,URMA_WRITE,5,0ns,26,161,0,3,1,0,1,2,,161
27,1,13,1230437,URMA_WRITE,6,0ns,27,21 57,0,3,1,2,2,3,21,57
28,1,14,1756160,URMA_WRITE,6,0ns,28,13,0,3,1,0,2,3,,13
29,1,15,1862128,URMA_WRITE,4,0ns,29,,0,3,1,0,0,1,,
30,2,0,1570501,URMA_WRITE,7,0ns,30,,0,0,0,,,,,
31,2,1,1421429,URMA_WRITE,7,0ns,31,,0,0,0,,,,,
32,2,3,1567248,URMA_WRITE,7,0ns,32,,0,0,0,,,,,
33,2,4,2041761,URMA_WRITE,5,0ns,33,,0,1,1,0,0,2,,
34,2,5,1635773,URMA_WRITE,5,0ns,34,43 140,0,1,1,2,0,2,43,140
35,2,6,1235948,URMA_WRITE,3,0ns,35,36 5,0,1,1,2,2,0,36,5
36,2,7,1678236,URMA_WRITE,3,0ns,36,42 157,0,1,1,1,2,0,42,157
37,2,8,1063699,URMA_WRITE,4,0ns,37,39 52,0,2,1,2,3,1,39,52
38,2,9,1660822,URMA_WRITE,6,0ns,38,44 189,0,2,1,1,1,3,44,189
39,2,10,1702388,URMA_WRITE,4,0ns,39,41,0,2,1,1,3,1,41,
40,2,11,1457783,URMA_WRITE,6,0ns,40,38 100,0,2,1,2,1,3,38,100
41,2,12,1916683,URMA_WRITE,4,0ns,41,,0,3,1,0,3,1,,
42,2,13,1937204,URMA_WRITE,3,0ns,42,,0,3,1,0,2,0,,
43,2,14,1652982,URMA_WRITE,5,0ns,43,33 88,0,3,1,1,0,2,33,88
44,2,15,1952538,URMA_WRITE,6,0ns,44,,0,3,1,0,1,3,,
45,3,0,1995172,URMA_WRITE,7,0ns,45,,0,0,0,,,,,
46,3,1,1386889,URMA_WRITE,7,0ns,46,,0,0,0,,,,,
47,3,2,1537684,URMA_WRITE,7,0ns,47,,0,0,0,,,,,
48,3,4,1688441,URMA_WRITE,5,0ns,48,139,0,1,1,0,3,2,,139
49,3,5,1593112,URMA_WRITE,4,0ns,49,56 155,0,1,1,1,2,1,56,155
50,3,6,1139253,URMA_WRITE,5,0ns,50,54 20,0,1,1,2,3,2,54,20
51,3,7,1218603,URMA_WRITE,6,0ns,51,57 172,0,1,1,2,0,3,57,172
52,3,8,1145720,URMA_WRITE,4,0ns,52,49 22,0,2,1,2,2,1,49,22
53,3,9,2018864,URMA_WRITE,3,0ns,53,,0,2,1,0,1,0,,
54,3,10,1636687,URMA_WRITE,5,0ns,54,48 69,0,2,1,1,3,2,48,69
55,3,11,2036838,URMA_WRITE,6,0ns,55,,0,2,1,0,0,3,,
