taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
57,3,12,8947848,URMA_WRITE,7,0ns,57,,58,58,0.0,558.31406,0.0,0.0,128.2124
58,3,10,8947848,URMA_WRITE,7,0ns,58,,59,59,0.0,558.66746,0.0,0.0,128.1313
59,3,11,8947848,URMA_WRITE,7,0ns,59,,60,60,0.0,558.7656,0.0,0.0,128.1088
60,4,3,8947849,URMA_WRITE,7,0ns,60,,61,61,0.0,558.3136,0.0,0.0,128.2125
61,4,5,8947849,URMA_WRITE,7,0ns,61,,62,62,0.0,181.63326,0.0,0.0,394.1062
62,4,2,8947849,URMA_WRITE,7,0ns,62,,63,63,0.0,556.64066,0.0,0.0,128.5978
63,4,6,8947849,URMA_WRITE,7,0ns,63,,64,64,0.0,181.63326,0.0,0.0,394.1062
64,4,1,8947849,URMA_WRITE,7,0ns,64,,65,65,0.0,562.73408,0.0,0.0,127.2054
65,4,7,8947849,URMA_WRITE,7,0ns,65,,66,66,0.0,181.63326,0.0,0.0,394.1062
66,4,0,8947849,URMA_WRITE,7,0ns,66,,67,67,0.0,553.666,0.0,0.0,129.2888
67,4,8,8947849,URMA_WRITE,7,0ns,67,,68,68,0.0,551.45276,0.0,0.0,129.8077
68,4,15,8947848,URMA_WRITE,7,0ns,68,,69,69,0.0,553.55912,0.0,0.0,129.3137
69,4,9,8947848,URMA_WRITE,7,0ns,69,,70,70,0.0,553.29364,0.0,0.0,129.3758
70,4,14,8947848,URMA_WRITE,7,0ns,70,,71,71,0.0,555.06644,0.0,0.0,128.9626
71,4,10,8947848,URMA_WRITE,7,0ns,71,,72,72,0.0,558.66546,0.0,0.0,128.1318
72,4,13,8947848,URMA_WRITE,7,0ns,72,,73,73,0.0,554.97832,0.0,0.0,128.983
73,4,11,8947848,URMA_WRITE,7,0ns,73,,74,74,0.0,556.2144,0.0,0.0,128.6964
74,4,12,8947848,URMA_WRITE,7,0ns,74,,75,75,0.0,555.06544,0.0,0.0,128.9628
75,5,4,8947849,URMA_WRITE,7,0ns,75,,76,76,0.0,181.63326,0.0,0.0,394.1062
76,5,6,8947849,URMA_WRITE,7,0ns,76,,77,77,0.0,181.63326,0.0,0.0,394.1062
77,5,3,8947849,URMA_WRITE,7,0ns,77,,78,78,0.0,557.68678,0.0,0.0,128.3566
78,5,7,8947849,URMA_WRITE,7,0ns,78,,79,79,0.0,181.63326,0.0,0.0,394.1062
79,5,2,8947849,URMA_WRITE,7,0ns,79,,80,80,0.0,556.63294,0.0,0.0,128.5996
80,5,8,8947849,URMA_WRITE,7,0ns,80,,81,81,0.0,561.29154,0.0,0.0,127.5323
81,5,1,8947849,URMA_WRITE,7,0ns,81,,82,82,0.0,562.71308,0.0,0.0,127.2101
82,5,9,8947849,URMA_WRITE,7,0ns,82,,83,83,0.0,552.4959,0.0,0.0,129.5626
83,5,0,8947848,URMA_WRITE,7,0ns,83,,84,84,0.0,556.77178,0.0,0.0,128.5676
84,5,10,8947848,URMA_WRITE,7,0ns,84,,85,85,0.0,562.4321,0.0,0.0,127.2736
85,5,15,8947848,URMA_WRITE,7,0ns,85,,86,86,0.0,561.8013,0.0,0.0,127.4166
86,5,11,8947848,URMA_WRITE,7,0ns,86,,87,87,0.0,556.88452,0.0,0.0,128.5415
87,5,14,8947848,URMA_WRITE,7,0ns,87,,88,88,0.0,555.80276,0.0,0.0,128.7917
88,5,12,8947848,URMA_WRITE,7,0ns,88,,89,89,0.0,556.28566,0.0,0.0,128.6799
89,5,13,8947848,URMA_WRITE,7,0ns,89,,90,90,0.0,560.87434,0.0,0.0,127.6271
90,6,5,8947849,URMA_WRITE,7,0ns,90,,91,91,0.0,181.63326,0.0,0.0,394.1062
91,6,7,8947849,URMA_WRITE,7,0ns,91,,92,92,0.0,181.63326,0.0,0.0,394.1062
92,6,4,8947849,URMA_WRITE,7,0ns,92,,93,93,0.0,181.63326,0.0,0.0,394.1062
93,6,8,8947849,URMA_WRITE,7,0ns,93,,94,94,0.0,557.64288,0.0,0.0,128.3667
94,6,3,8947849,URMA_WRITE,7,0ns,94,,95,95,0.0,554.91168,0.0,0.0,128.9985
95,6,9,8947849,URMA_WRITE,7,0ns,95,,96,96,0.0,561.42412,0.0,0.0,127.5022
96,6,2,8947849,URMA_WRITE,7,0ns,96,,97,97,0.0,561.50676,0.0,0.0,127.4834
97,6,10,8947849,URMA_WRITE,7,0ns,97,,98,98,0.0,554.93446,0.0,0.0,128.9932
98,6,1,8947848,URMA_WRITE,7,0ns,98,,99,99,0.0,562.70908,0.0,0.0,127.211
99,6,11,8947848,URMA_WRITE,7,0ns,99,,100,100,0.0,561.08756,0.0,0.0,127.5786
100,6,0,8947848,URMA_WRITE,7,0ns,100,,101,101,0.0,554.87596,0.0,0.0,129.0068
101,6,12,8947848,URMA_WRITE,7,0ns,101,,102,102,0.0,561.1702,0.0,0.0,127.5598
102,6,15,8947848,URMA_WRITE,7,0ns,102,,103,103,0.0,557.89876,0.0,0.0,128.3078
103,6,13,8947848,URMA_WRITE,7,0ns,103,,104,104,0.0,561.25236,0.0,0.0,127.5412
104,6,14,8947848,URMA_WRITE,7,0ns,104,,105,105,0.0,561.33548,0.0,0.0,127.5223
105,7,6,8947849,URMA_WRITE,7,0ns,105,,106,106,0.0,181.63326,0.0,0.0,394.1062
106,7,8,8947849,URMA_WRITE,7,0ns,106,,107,107,0.0,553.32358,0.0,0.0,129.3688
107,7,5,8947849,URMA_WRITE,7,0ns,107,,108,108,0.0,181.63326,0.0,0.0,394.1062
108,7,9,8947849,URMA_WRITE,7,0ns,108,,109,109,0.0,553.23946,0.0,0.0,129.3884
