algorithm,case,tasks,total_bytes,makespan_us,single_rank_GBps,rank0_makespan_us,rank0_GBps,pair_avg,pair_min,pair_max,pair_cv,src_min,src_max,src_cv,cross_fraction,plane0,plane1,plane2,plane3,plane_cv
baseline,experiments/ubx16/alltoallv/snake/cases/generated_topology_ubx16_a2av_snake_improved_baseline_custom,240,274717441,104.47402,164.34554794100967,87.6072,193.40335040955537,1144656.0041666667,1050466,1258161,0.049912769865263655,16936723,17464448,0.009975110671097163,0.7982927993275826,0,0,0,0,0
fixed-plane-snake,experiments/ubx16/alltoallv/snake/cases/generated_topology_ubx16_a2av_snake_improved_fixedplane_custom,240,274717441,201.09576,85.3814126289883,201.09576,84.25600818237042,1144656.0041666667,1050466,1258161,0.049912769865263655,16936723,17464448,0.009975110671097163,0.7982927993275826,55462981,55004835,54544321,54292818,0.008163819313137982
