taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint
0,0,4,16777216,URMA_WRITE,7,0ns,0,,0,0,3,3
1,4,0,16777216,URMA_WRITE,7,0ns,1,,0,0,3,3
