taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,sourcePod,destPod,isCrossPod,logicalRound,basePlane,actualPlane,sourcePlanePrevPhase,recvPlanePrevPhase
70,4,11,1154460,URMA_WRITE,5,0ns,70,63,1,2,1,2,2,2,63,
71,4,12,1113179,URMA_WRITE,6,0ns,71,73 176,1,3,1,2,3,3,73,176
72,4,13,1288563,URMA_WRITE,3,0ns,72,62 147,1,3,1,1,0,0,62,147
73,4,14,1339533,URMA_WRITE,6,0ns,73,67 28,1,3,1,1,3,3,67,28
74,4,15,1297525,URMA_WRITE,4,0ns,74,60 149,1,3,1,1,1,1,60,149
75,5,0,1176654,URMA_WRITE,5,0ns,75,88 150,1,0,1,2,1,2,88,150
76,5,1,1395724,URMA_WRITE,5,0ns,76,91,1,0,1,0,1,2,,91
77,5,2,1234739,URMA_WRITE,4,0ns,77,84 137,1,0,1,2,0,1,84,137
78,5,3,1353632,URMA_WRITE,6,0ns,78,85,1,0,1,1,2,3,85,
79,5,4,1529892,URMA_WRITE,7,0ns,79,,1,1,0,,,,,
80,5,6,1075499,URMA_WRITE,7,0ns,80,,1,1,0,,,,,
81,5,7,1093466,URMA_WRITE,7,0ns,81,,1,1,0,,,,,
82,5,8,1423005,URMA_WRITE,4,0ns,82,233,1,2,1,0,0,1,,233
83,5,9,1135199,URMA_WRITE,6,0ns,83,78 38,1,2,1,2,2,3,78,38
84,5,10,1348139,URMA_WRITE,4,0ns,84,82 39,1,2,1,1,0,1,82,39
85,5,11,1391588,URMA_WRITE,6,0ns,85,221,1,2,1,0,2,3,,221
86,5,12,1067647,URMA_WRITE,3,0ns,86,89 146,1,3,1,2,3,0,89,146
87,5,13,1387067,URMA_WRITE,3,0ns,87,42,1,3,1,0,3,0,,42
88,5,14,1351610,URMA_WRITE,5,0ns,88,76,1,3,1,1,1,2,76,
89,5,15,1385877,URMA_WRITE,3,0ns,89,87,1,3,1,1,3,0,87,
90,6,0,1208913,URMA_WRITE,5,0ns,90,91 210,1,0,1,1,0,2,91,210
91,6,1,1478940,URMA_WRITE,5,0ns,91,,1,0,1,0,0,2,,
92,6,2,1130109,URMA_WRITE,6,0ns,92,100 212,1,0,1,2,1,3,100,212
93,6,3,1356238,URMA_WRITE,4,0ns,93,101 168,1,0,1,1,3,1,101,168
94,6,4,1249289,URMA_WRITE,7,0ns,94,,1,1,0,,,,,
95,6,5,1514292,URMA_WRITE,7,0ns,95,,1,1,0,,,,,
96,6,7,1354755,URMA_WRITE,7,0ns,96,,1,1,0,,,,,
97,6,8,1191641,URMA_WRITE,5,0ns,97,90 188,1,2,1,2,0,2,90,188
98,6,9,1310769,URMA_WRITE,3,0ns,98,103 113,1,2,1,1,2,0,103,113
99,6,10,1448748,URMA_WRITE,6,0ns,99,,1,2,1,0,1,3,,
100,6,11,1215199,URMA_WRITE,6,0ns,100,99 10,1,2,1,1,1,3,99,10
101,6,12,1395976,URMA_WRITE,4,0ns,101,56,1,3,1,0,3,1,,56
102,6,13,1058428,URMA_WRITE,4,0ns,102,93 12,1,3,1,2,3,1,93,12
103,6,14,1429549,URMA_WRITE,3,0ns,103,,1,3,1,0,2,0,,
104,6,15,1095549,URMA_WRITE,3,0ns,104,98 59,1,3,1,2,2,0,98,59
105,7,0,1525452,URMA_WRITE,6,0ns,105,,1,0,1,0,0,3,,
106,7,1,1226379,URMA_WRITE,3,0ns,106,113 211,1,0,1,1,1,0,113,211
107,7,2,1431506,URMA_WRITE,4,0ns,107,,1,0,1,0,2,1,,
108,7,3,1428919,URMA_WRITE,5,0ns,108,,1,0,1,0,3,2,,
109,7,4,1353013,URMA_WRITE,7,0ns,109,,1,1,0,,,,,
110,7,5,1150395,URMA_WRITE,7,0ns,110,,1,1,0,,,,,
111,7,6,1509243,URMA_WRITE,7,0ns,111,,1,1,0,,,,,
112,7,8,1265879,URMA_WRITE,4,0ns,112,107 218,1,2,1,1,2,1,107,218
113,7,9,1493122,URMA_WRITE,3,0ns,113,53,1,2,1,0,1,0,,53
114,7,10,1266592,URMA_WRITE,5,0ns,114,108 54,1,2,1,1,3,2,108,54
115,7,11,1167713,URMA_WRITE,6,0ns,115,119 40,1,2,1,2,0,3,119,40
116,7,12,1110798,URMA_WRITE,4,0ns,116,112 101,1,3,1,2,2,1,112,101
117,7,13,1113807,URMA_WRITE,3,0ns,117,106 72,1,3,1,2,1,0,106,72
118,7,14,1106531,URMA_WRITE,5,0ns,118,114 43,1,3,1,2,3,2,114,43
119,7,15,1225439,URMA_WRITE,6,0ns,119,105 164,1,3,1,1,0,3,105,164
120,8,0,1205485,URMA_WRITE,3,0ns,120,131,2,0,1,2,0,0,131,
121,8,1,1091454,URMA_WRITE,5,0ns,121,123 196,2,0,1,2,2,2,123,196
