taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,19014178,URMA_WRITE,7,0ns,0,
1,0,4,25725065,URMA_WRITE,7,0ns,1,
2,0,5,27962027,URMA_WRITE,7,0ns,2,
3,0,6,30198989,URMA_WRITE,7,0ns,3,
4,0,7,32435951,URMA_WRITE,7,0ns,4,
5,4,5,19014178,URMA_WRITE,7,0ns,5,
6,4,8,25725065,URMA_WRITE,7,0ns,6,
7,4,9,27962027,URMA_WRITE,7,0ns,7,
8,4,10,30198989,URMA_WRITE,7,0ns,8,
9,4,11,32435951,URMA_WRITE,7,0ns,9,
10,8,9,19014178,URMA_WRITE,7,0ns,10,
11,8,12,25725065,URMA_WRITE,7,0ns,11,
12,8,13,27962027,URMA_WRITE,7,0ns,12,
13,8,14,30198989,URMA_WRITE,7,0ns,13,
14,8,15,32435951,URMA_WRITE,7,0ns,14,
15,12,13,19014178,URMA_WRITE,7,0ns,15,
16,12,0,25725065,URMA_WRITE,7,0ns,16,
17,12,1,27962027,URMA_WRITE,7,0ns,17,
18,12,2,30198989,URMA_WRITE,7,0ns,18,
19,12,3,32435951,URMA_WRITE,7,0ns,19,
20,1,2,19014178,URMA_WRITE,7,0ns,20,
21,1,7,30198989,URMA_WRITE,7,0ns,21,
22,1,4,23488102,URMA_WRITE,7,0ns,22,
23,1,5,25725065,URMA_WRITE,7,0ns,23,
24,1,6,27962027,URMA_WRITE,7,0ns,24,
25,5,6,19014178,URMA_WRITE,7,0ns,25,
26,5,11,30198989,URMA_WRITE,7,0ns,26,
27,5,8,23488102,URMA_WRITE,7,0ns,27,
28,5,9,25725065,URMA_WRITE,7,0ns,28,
29,5,10,27962027,URMA_WRITE,7,0ns,29,
30,9,10,19014178,URMA_WRITE,7,0ns,30,
31,9,15,30198989,URMA_WRITE,7,0ns,31,
32,9,12,23488102,URMA_WRITE,7,0ns,32,
33,9,13,25725065,URMA_WRITE,7,0ns,33,
34,9,14,27962027,URMA_WRITE,7,0ns,34,
35,13,14,19014178,URMA_WRITE,7,0ns,35,
36,13,3,30198989,URMA_WRITE,7,0ns,36,
37,13,0,23488102,URMA_WRITE,7,0ns,37,
38,13,1,25725065,URMA_WRITE,7,0ns,38,
39,13,2,27962027,URMA_WRITE,7,0ns,39,
40,2,3,19014178,URMA_WRITE,7,0ns,40,
41,2,6,25725065,URMA_WRITE,7,0ns,41,
42,2,7,27962027,URMA_WRITE,7,0ns,42,
43,2,4,21251140,URMA_WRITE,7,0ns,43,
44,2,5,23488102,URMA_WRITE,7,0ns,44,
45,6,7,19014178,URMA_WRITE,7,0ns,45,
46,6,10,25725065,URMA_WRITE,7,0ns,46,
47,6,11,27962027,URMA_WRITE,7,0ns,47,
48,6,8,21251140,URMA_WRITE,7,0ns,48,
49,6,9,23488102,URMA_WRITE,7,0ns,49,
50,10,11,19014178,URMA_WRITE,7,0ns,50,
51,10,14,25725065,URMA_WRITE,7,0ns,51,
52,10,15,27962027,URMA_WRITE,7,0ns,52,
53,10,12,21251140,URMA_WRITE,7,0ns,53,
54,10,13,23488102,URMA_WRITE,7,0ns,54,
55,14,15,19014178,URMA_WRITE,7,0ns,55,
56,14,2,25725065,URMA_WRITE,7,0ns,56,
57,14,3,27962027,URMA_WRITE,7,0ns,57,
58,14,0,21251140,URMA_WRITE,7,0ns,58,
59,14,1,23488102,URMA_WRITE,7,0ns,59,
60,3,0,45857724,URMA_WRITE,7,0ns,60,
61,3,5,21251140,URMA_WRITE,7,0ns,61,
62,3,6,23488102,URMA_WRITE,7,0ns,62,
63,3,7,25725065,URMA_WRITE,7,0ns,63,
