taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
98,6,1,8947848,URMA_WRITE,7,0ns,98,,99,99
99,6,11,8947848,URMA_WRITE,7,0ns,99,,100,100
100,6,0,8947848,URMA_WRITE,7,0ns,100,,101,101
101,6,12,8947848,URMA_WRITE,7,0ns,101,,102,102
102,6,15,8947848,URMA_WRITE,7,0ns,102,,103,103
103,6,13,8947848,URMA_WRITE,7,0ns,103,,104,104
104,6,14,8947848,URMA_WRITE,7,0ns,104,,105,105
105,7,6,8947849,URMA_WRITE,7,0ns,105,,106,106
106,7,8,8947849,URMA_WRITE,7,0ns,106,,107,107
107,7,5,8947849,URMA_WRITE,7,0ns,107,,108,108
108,7,9,8947849,URMA_WRITE,7,0ns,108,,109,109
109,7,4,8947849,URMA_WRITE,7,0ns,109,,110,110
110,7,10,8947849,URMA_WRITE,7,0ns,110,,111,111
111,7,3,8947849,URMA_WRITE,7,0ns,111,,112,112
112,7,11,8947849,URMA_WRITE,7,0ns,112,,113,113
113,7,2,8947848,URMA_WRITE,7,0ns,113,,114,114
114,7,12,8947848,URMA_WRITE,7,0ns,114,,115,115
115,7,1,8947848,URMA_WRITE,7,0ns,115,,116,116
116,7,13,8947848,URMA_WRITE,7,0ns,116,,117,117
117,7,0,8947848,URMA_WRITE,7,0ns,117,,118,118
118,7,14,8947848,URMA_WRITE,7,0ns,118,,119,119
119,7,15,8947848,URMA_WRITE,7,0ns,119,,120,120
120,8,7,8947849,URMA_WRITE,7,0ns,120,,121,121
121,8,9,8947849,URMA_WRITE,7,0ns,121,,122,122
122,8,6,8947849,URMA_WRITE,7,0ns,122,,123,123
123,8,10,8947849,URMA_WRITE,7,0ns,123,,124,124
124,8,5,8947849,URMA_WRITE,7,0ns,124,,125,125
125,8,11,8947849,URMA_WRITE,7,0ns,125,,126,126
126,8,4,8947849,URMA_WRITE,7,0ns,126,,127,127
127,8,12,8947849,URMA_WRITE,7,0ns,127,,128,128
128,8,3,8947848,URMA_WRITE,7,0ns,128,,129,129
129,8,13,8947848,URMA_WRITE,7,0ns,129,,130,130
130,8,2,8947848,URMA_WRITE,7,0ns,130,,131,131
131,8,14,8947848,URMA_WRITE,7,0ns,131,,132,132
132,8,1,8947848,URMA_WRITE,7,0ns,132,,133,133
133,8,15,8947848,URMA_WRITE,7,0ns,133,,134,134
134,8,0,8947848,URMA_WRITE,7,0ns,134,,135,135
135,9,8,8947849,URMA_WRITE,7,0ns,135,,136,136
136,9,10,8947849,URMA_WRITE,7,0ns,136,,137,137
137,9,7,8947849,URMA_WRITE,7,0ns,137,,138,138
138,9,11,8947849,URMA_WRITE,7,0ns,138,,139,139
139,9,6,8947849,URMA_WRITE,7,0ns,139,,140,140
140,9,12,8947849,URMA_WRITE,7,0ns,140,,141,141
141,9,5,8947849,URMA_WRITE,7,0ns,141,,142,142
142,9,13,8947849,URMA_WRITE,7,0ns,142,,143,143
