nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
1,3,89,13,3,55,6,2
1,4,90,13,4,56,6,2
1,5,91,13,5,57,6,2
1,6,92,13,6,58,6,2
1,3,93,14,3,55,6,2
1,4,94,14,4,56,6,2
1,5,95,14,5,57,6,2
1,6,96,14,6,58,6,2
1,3,97,15,3,55,6,2
1,4,98,15,4,56,6,2
1,5,99,15,5,57,6,2
1,6,100,15,6,58,6,2
2,2,53,3,2,50,6,1
2,3,54,4,3,56,6,2
2,4,55,4,4,57,6,2
2,5,56,4,5,58,6,2
2,6,57,4,6,59,6,2
2,3,58,5,3,59,6,2
2,4,59,5,4,60,6,2
2,5,60,5,5,61,6,2
2,6,61,5,6,62,6,2
2,3,62,6,3,58,6,2
2,4,63,6,4,59,6,2
2,5,64,6,5,60,6,2
2,6,65,6,6,61,6,2
2,3,66,7,3,57,6,2
2,4,67,7,4,58,6,2
2,5,68,7,5,59,6,2
2,6,69,7,6,60,6,2
2,3,70,8,3,59,6,2
2,4,71,8,4,60,6,2
2,5,72,8,5,61,6,2
2,6,73,8,6,62,6,2
2,3,74,9,3,56,6,2
2,4,75,9,4,57,6,2
2,5,76,9,5,58,6,2
2,6,77,9,6,59,6,2
2,3,78,10,3,57,6,2
2,4,79,10,4,58,6,2
2,5,80,10,5,59,6,2
2,6,81,10,6,60,6,2
2,3,82,11,3,58,6,2
2,4,83,11,4,59,6,2
2,5,84,11,5,60,6,2
2,6,85,11,6,61,6,2
2,3,86,12,3,59,6,2
2,4,87,12,4,60,6,2
2,5,88,12,5,61,6,2
2,6,89,12,6,62,6,2
2,3,90,13,3,59,6,2
2,4,91,13,4,60,6,2
2,5,92,13,5,61,6,2
2,6,93,13,6,62,6,2
2,3,94,14,3,59,6,2
2,4,95,14,4,60,6,2
2,5,96,14,5,61,6,2
2,6,97,14,6,62,6,2
2,3,98,15,3,59,6,2
2,4,99,15,4,60,6,2
2,5,100,15,5,61,6,2
2,6,101,15,6,62,6,2
3,3,51,4,3,60,6,2
3,4,52,4,4,61,6,2
3,5,53,4,5,62,6,2
3,6,54,4,6,63,6,2
3,3,55,5,3,63,6,2
3,4,56,5,4,64,6,2
3,5,57,5,5,65,6,2
3,6,58,5,6,66,6,2
3,3,59,6,3,62,6,2
3,4,60,6,4,63,6,2
3,5,61,6,5,64,6,2
3,6,62,6,6,65,6,2
3,3,63,7,3,61,6,2
3,4,64,7,4,62,6,2
3,5,65,7,5,63,6,2
3,6,66,7,6,64,6,2
3,3,67,8,3,63,6,2
3,4,68,8,4,64,6,2
3,5,69,8,5,65,6,2
3,6,70,8,6,66,6,2
3,3,71,9,3,60,6,2
3,4,72,9,4,61,6,2
3,5,73,9,5,62,6,2
3,6,74,9,6,63,6,2
3,3,75,10,3,61,6,2
3,4,76,10,4,62,6,2
3,5,77,10,5,63,6,2
3,6,78,10,6,64,6,2
3,3,79,11,3,62,6,2
3,4,80,11,4,63,6,2
3,5,81,11,5,64,6,2
3,6,82,11,6,65,6,2
3,3,83,12,3,63,6,2
3,4,84,12,4,64,6,2
3,5,85,12,5,65,6,2
3,6,86,12,6,66,6,2
3,3,87,13,3,63,6,2
3,4,88,13,4,64,6,2
3,5,89,13,5,65,6,2
3,6,90,13,6,66,6,2
3,3,91,14,3,63,6,2
3,4,92,14,4,64,6,2
3,5,93,14,5,65,6,2
3,6,94,14,6,66,6,2
3,3,95,15,3,63,6,2
3,4,96,15,4,64,6,2
3,5,97,15,5,65,6,2
3,6,98,15,6,66,6,2
4,0,64,5,0,67,6,1
4,1,65,6,0,66,6,1
4,2,66,7,0,65,6,1
4,3,67,8,3,67,6,2
4,4,68,8,4,68,6,2
4,5,69,8,5,69,6,2
4,6,70,8,6,70,6,2
4,3,71,9,3,64,6,2
4,4,72,9,4,65,6,2
4,5,73,9,5,66,6,2
4,6,74,9,6,67,6,2
4,3,75,10,3,65,6,2
4,4,76,10,4,66,6,2
4,5,77,10,5,67,6,2
4,6,78,10,6,68,6,2
4,3,79,11,3,66,6,2
4,4,80,11,4,67,6,2
4,5,81,11,5,68,6,2
4,6,82,11,6,69,6,2
4,3,83,12,3,67,6,2
4,4,84,12,4,68,6,2
4,5,85,12,5,69,6,2
4,6,86,12,6,70,6,2
4,3,87,13,3,67,6,2
4,4,88,13,4,68,6,2
4,5,89,13,5,69,6,2
4,6,90,13,6,70,6,2
4,3,91,14,3,67,6,2
4,4,92,14,4,68,6,2
4,5,93,14,5,69,6,2
4,6,94,14,6,70,6,2
4,3,95,15,3,67,6,2
4,4,96,15,4,68,6,2
4,5,97,15,5,69,6,2
4,6,98,15,6,70,6,2
5,1,68,6,1,67,6,1
5,2,69,7,1,66,6,1
5,3,70,8,3,71,6,2
5,4,71,8,4,72,6,2
5,5,72,8,5,73,6,2
5,6,73,8,6,74,6,2
5,3,74,9,3,68,6,2
5,4,75,9,4,69,6,2
5,5,76,9,5,70,6,2
5,6,77,9,6,71,6,2
5,3,78,10,3,69,6,2
5,4,79,10,4,70,6,2
5,5,80,10,5,71,6,2
5,6,81,10,6,72,6,2
5,3,82,11,3,70,6,2
5,4,83,11,4,71,6,2
