taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,4473924,URMA_WRITE,7,0ns,0,
1,0,4,17895697,URMA_WRITE,7,0ns,1,
2,0,5,22369621,URMA_WRITE,7,0ns,2,
3,0,6,26843546,URMA_WRITE,7,0ns,3,
4,0,7,31317470,URMA_WRITE,7,0ns,4,
5,4,5,4473924,URMA_WRITE,7,0ns,5,
6,4,8,17895697,URMA_WRITE,7,0ns,6,
7,4,9,22369621,URMA_WRITE,7,0ns,7,
8,4,10,26843546,URMA_WRITE,7,0ns,8,
9,4,11,31317470,URMA_WRITE,7,0ns,9,
10,8,9,4473924,URMA_WRITE,7,0ns,10,
11,8,12,17895697,URMA_WRITE,7,0ns,11,
12,8,13,22369621,URMA_WRITE,7,0ns,12,
13,8,14,26843546,URMA_WRITE,7,0ns,13,
14,8,15,31317470,URMA_WRITE,7,0ns,14,
15,12,13,4473924,URMA_WRITE,7,0ns,15,
16,12,0,17895697,URMA_WRITE,7,0ns,16,
17,12,1,22369621,URMA_WRITE,7,0ns,17,
18,12,2,26843546,URMA_WRITE,7,0ns,18,
19,12,3,31317470,URMA_WRITE,7,0ns,19,
20,1,2,4473924,URMA_WRITE,7,0ns,20,
21,1,7,26843546,URMA_WRITE,7,0ns,21,
22,1,4,13421773,URMA_WRITE,7,0ns,22,
23,1,5,17895697,URMA_WRITE,7,0ns,23,
24,1,6,22369621,URMA_WRITE,7,0ns,24,
25,5,6,4473924,URMA_WRITE,7,0ns,25,
26,5,11,26843546,URMA_WRITE,7,0ns,26,
27,5,8,13421773,URMA_WRITE,7,0ns,27,
28,5,9,17895697,URMA_WRITE,7,0ns,28,
29,5,10,22369621,URMA_WRITE,7,0ns,29,
30,9,10,4473924,URMA_WRITE,7,0ns,30,
31,9,15,26843546,URMA_WRITE,7,0ns,31,
32,9,12,13421773,URMA_WRITE,7,0ns,32,
33,9,13,17895697,URMA_WRITE,7,0ns,33,
34,9,14,22369621,URMA_WRITE,7,0ns,34,
35,13,14,4473924,URMA_WRITE,7,0ns,35,
36,13,3,26843546,URMA_WRITE,7,0ns,36,
37,13,0,13421773,URMA_WRITE,7,0ns,37,
38,13,1,17895697,URMA_WRITE,7,0ns,38,
39,13,2,22369621,URMA_WRITE,7,0ns,39,
40,2,3,4473924,URMA_WRITE,7,0ns,40,
41,2,6,17895697,URMA_WRITE,7,0ns,41,
42,2,7,22369621,URMA_WRITE,7,0ns,42,
43,2,4,8947849,URMA_WRITE,7,0ns,43,
44,2,5,13421773,URMA_WRITE,7,0ns,44,
45,6,7,4473924,URMA_WRITE,7,0ns,45,
46,6,10,17895697,URMA_WRITE,7,0ns,46,
47,6,11,22369621,URMA_WRITE,7,0ns,47,
48,6,8,8947849,URMA_WRITE,7,0ns,48,
49,6,9,13421773,URMA_WRITE,7,0ns,49,
50,10,11,4473924,URMA_WRITE,7,0ns,50,
51,10,14,17895697,URMA_WRITE,7,0ns,51,
52,10,15,22369621,URMA_WRITE,7,0ns,52,
53,10,12,8947849,URMA_WRITE,7,0ns,53,
54,10,13,13421773,URMA_WRITE,7,0ns,54,
55,14,15,4473924,URMA_WRITE,7,0ns,55,
56,14,2,17895697,URMA_WRITE,7,0ns,56,
57,14,3,22369621,URMA_WRITE,7,0ns,57,
58,14,0,8947849,URMA_WRITE,7,0ns,58,
59,14,1,13421773,URMA_WRITE,7,0ns,59,
60,3,0,58161015,URMA_WRITE,7,0ns,60,
61,3,5,8947849,URMA_WRITE,7,0ns,61,
62,3,6,13421773,URMA_WRITE,7,0ns,62,
63,3,7,17895697,URMA_WRITE,7,0ns,63,
64,3,4,4473924,URMA_WRITE,7,0ns,64,
65,7,4,58161015,URMA_WRITE,7,0ns,65,
66,7,9,8947849,URMA_WRITE,7,0ns,66,
67,7,10,13421773,URMA_WRITE,7,0ns,67,
68,7,11,17895697,URMA_WRITE,7,0ns,68,
69,7,8,4473924,URMA_WRITE,7,0ns,69,
70,11,8,58161015,URMA_WRITE,7,0ns,70,
71,11,13,8947849,URMA_WRITE,7,0ns,71,
72,11,14,13421773,URMA_WRITE,7,0ns,72,
73,11,15,17895697,URMA_WRITE,7,0ns,73,
74,11,12,4473924,URMA_WRITE,7,0ns,74,
75,15,12,58161015,URMA_WRITE,7,0ns,75,
76,15,1,8947849,URMA_WRITE,7,0ns,76,
77,15,2,13421773,URMA_WRITE,7,0ns,77,
78,15,3,17895697,URMA_WRITE,7,0ns,78,
79,15,0,4473924,URMA_WRITE,7,0ns,79,
80,0,2,8947849,URMA_WRITE,7,0ns,80,0
81,0,8,35791394,URMA_WRITE,7,0ns,81,1
82,0,9,40265318,URMA_WRITE,7,0ns,82,2
83,0,10,44739243,URMA_WRITE,7,0ns,83,3
84,0,11,49213167,URMA_WRITE,7,0ns,84,4
85,4,6,8947849,URMA_WRITE,7,0ns,85,5
86,4,12,35791394,URMA_WRITE,7,0ns,86,6
87,4,13,40265318,URMA_WRITE,7,0ns,87,7
88,4,14,44739243,URMA_WRITE,7,0ns,88,8
89,4,15,49213167,URMA_WRITE,7,0ns,89,9
90,8,10,8947849,URMA_WRITE,7,0ns,90,10
91,8,0,35791394,URMA_WRITE,7,0ns,91,11
92,8,1,40265318,URMA_WRITE,7,0ns,92,12
93,8,2,44739243,URMA_WRITE,7,0ns,93,13
94,8,3,49213167,URMA_WRITE,7,0ns,94,14
95,12,14,8947849,URMA_WRITE,7,0ns,95,15
96,12,4,35791394,URMA_WRITE,7,0ns,96,16
97,12,5,40265318,URMA_WRITE,7,0ns,97,17
98,12,6,44739243,URMA_WRITE,7,0ns,98,18
99,12,7,49213167,URMA_WRITE,7,0ns,99,19
100,1,3,8947849,URMA_WRITE,7,0ns,100,20
101,1,11,44739243,URMA_WRITE,7,0ns,101,21
102,1,8,31317470,URMA_WRITE,7,0ns,102,22
103,1,9,35791394,URMA_WRITE,7,0ns,103,23
104,1,10,40265318,URMA_WRITE,7,0ns,104,24
105,5,7,8947849,URMA_WRITE,7,0ns,105,25
106,5,15,44739243,URMA_WRITE,7,0ns,106,26
107,5,12,31317470,URMA_WRITE,7,0ns,107,27
108,5,13,35791394,URMA_WRITE,7,0ns,108,28
109,5,14,40265318,URMA_WRITE,7,0ns,109,29
110,9,11,8947849,URMA_WRITE,7,0ns,110,30
111,9,3,44739243,URMA_WRITE,7,0ns,111,31
112,9,0,31317470,URMA_WRITE,7,0ns,112,32
113,9,1,35791394,URMA_WRITE,7,0ns,113,33
114,9,2,40265318,URMA_WRITE,7,0ns,114,34
115,13,15,8947849,URMA_WRITE,7,0ns,115,35
116,13,7,44739243,URMA_WRITE,7,0ns,116,36
117,13,4,31317470,URMA_WRITE,7,0ns,117,37
118,13,5,35791394,URMA_WRITE,7,0ns,118,38
119,13,6,40265318,URMA_WRITE,7,0ns,119,39
120,2,0,62634940,URMA_WRITE,7,0ns,120,40
121,2,10,35791394,URMA_WRITE,7,0ns,121,41
122,2,11,40265318,URMA_WRITE,7,0ns,122,42
123,2,8,26843546,URMA_WRITE,7,0ns,123,43
124,2,9,31317470,URMA_WRITE,7,0ns,124,44
125,6,4,62634940,URMA_WRITE,7,0ns,125,45
126,6,14,35791394,URMA_WRITE,7,0ns,126,46
127,6,15,40265318,URMA_WRITE,7,0ns,127,47
128,6,12,26843546,URMA_WRITE,7,0ns,128,48
129,6,13,31317470,URMA_WRITE,7,0ns,129,49
130,10,8,62634940,URMA_WRITE,7,0ns,130,50
131,10,2,35791394,URMA_WRITE,7,0ns,131,51
132,10,3,40265318,URMA_WRITE,7,0ns,132,52
133,10,0,26843546,URMA_WRITE,7,0ns,133,53
134,10,1,31317470,URMA_WRITE,7,0ns,134,54
135,14,12,62634940,URMA_WRITE,7,0ns,135,55
136,14,6,35791394,URMA_WRITE,7,0ns,136,56
137,14,7,40265318,URMA_WRITE,7,0ns,137,57
138,14,4,26843546,URMA_WRITE,7,0ns,138,58
139,14,5,31317470,URMA_WRITE,7,0ns,139,59
140,3,1,62634940,URMA_WRITE,7,0ns,140,60
141,3,9,26843546,URMA_WRITE,7,0ns,141,61
142,3,10,31317470,URMA_WRITE,7,0ns,142,62
143,3,11,35791394,URMA_WRITE,7,0ns,143,63
144,3,8,22369621,URMA_WRITE,7,0ns,144,64
145,7,5,62634940,URMA_WRITE,7,0ns,145,65
146,7,13,26843546,URMA_WRITE,7,0ns,146,66
147,7,14,31317470,URMA_WRITE,7,0ns,147,67
148,7,15,35791394,URMA_WRITE,7,0ns,148,68
149,7,12,22369621,URMA_WRITE,7,0ns,149,69
150,11,9,62634940,URMA_WRITE,7,0ns,150,70
151,11,1,26843546,URMA_WRITE,7,0ns,151,71
152,11,2,31317470,URMA_WRITE,7,0ns,152,72
153,11,3,35791394,URMA_WRITE,7,0ns,153,73
154,11,0,22369621,URMA_WRITE,7,0ns,154,74
155,15,13,62634940,URMA_WRITE,7,0ns,155,75
156,15,5,26843546,URMA_WRITE,7,0ns,156,76
157,15,6,31317470,URMA_WRITE,7,0ns,157,77
158,15,7,35791394,URMA_WRITE,7,0ns,158,78
159,15,4,22369621,URMA_WRITE,7,0ns,159,79
160,0,3,13421773,URMA_WRITE,7,0ns,160,80
161,0,12,53687091,URMA_WRITE,7,0ns,161,81
162,0,13,58161015,URMA_WRITE,7,0ns,162,82
163,0,14,62634940,URMA_WRITE,7,0ns,163,83
164,0,15,67108863,URMA_WRITE,7,0ns,164,84
165,4,7,13421773,URMA_WRITE,7,0ns,165,85
166,4,0,53687091,URMA_WRITE,7,0ns,166,86
167,4,1,58161015,URMA_WRITE,7,0ns,167,87
168,4,2,62634940,URMA_WRITE,7,0ns,168,88
169,4,3,67108863,URMA_WRITE,7,0ns,169,89
170,8,11,13421773,URMA_WRITE,7,0ns,170,90
171,8,4,53687091,URMA_WRITE,7,0ns,171,91
172,8,5,58161015,URMA_WRITE,7,0ns,172,92
173,8,6,62634940,URMA_WRITE,7,0ns,173,93
174,8,7,67108863,URMA_WRITE,7,0ns,174,94
175,12,15,13421773,URMA_WRITE,7,0ns,175,95
176,12,8,53687091,URMA_WRITE,7,0ns,176,96
177,12,9,58161015,URMA_WRITE,7,0ns,177,97
178,12,10,62634940,URMA_WRITE,7,0ns,178,98
179,12,11,67108863,URMA_WRITE,7,0ns,179,99
180,1,0,67108863,URMA_WRITE,7,0ns,180,100
181,1,15,62634940,URMA_WRITE,7,0ns,181,101
182,1,12,49213167,URMA_WRITE,7,0ns,182,102
183,1,13,53687091,URMA_WRITE,7,0ns,183,103
184,1,14,58161015,URMA_WRITE,7,0ns,184,104
185,5,4,67108863,URMA_WRITE,7,0ns,185,105
186,5,3,62634940,URMA_WRITE,7,0ns,186,106
187,5,0,49213167,URMA_WRITE,7,0ns,187,107
188,5,1,53687091,URMA_WRITE,7,0ns,188,108
189,5,2,58161015,URMA_WRITE,7,0ns,189,109
190,9,8,67108863,URMA_WRITE,7,0ns,190,110
191,9,7,62634940,URMA_WRITE,7,0ns,191,111
192,9,4,49213167,URMA_WRITE,7,0ns,192,112
193,9,5,53687091,URMA_WRITE,7,0ns,193,113
194,9,6,58161015,URMA_WRITE,7,0ns,194,114
195,13,12,67108863,URMA_WRITE,7,0ns,195,115
196,13,11,62634940,URMA_WRITE,7,0ns,196,116
197,13,8,49213167,URMA_WRITE,7,0ns,197,117
198,13,9,53687091,URMA_WRITE,7,0ns,198,118
199,13,10,58161015,URMA_WRITE,7,0ns,199,119
200,2,1,67108863,URMA_WRITE,7,0ns,200,120
201,2,14,53687091,URMA_WRITE,7,0ns,201,121
202,2,15,58161015,URMA_WRITE,7,0ns,202,122
203,2,12,44739243,URMA_WRITE,7,0ns,203,123
204,2,13,49213167,URMA_WRITE,7,0ns,204,124
205,6,5,67108863,URMA_WRITE,7,0ns,205,125
206,6,2,53687091,URMA_WRITE,7,0ns,206,126
207,6,3,58161015,URMA_WRITE,7,0ns,207,127
208,6,0,44739243,URMA_WRITE,7,0ns,208,128
209,6,1,49213167,URMA_WRITE,7,0ns,209,129
210,10,9,67108863,URMA_WRITE,7,0ns,210,130
211,10,6,53687091,URMA_WRITE,7,0ns,211,131
212,10,7,58161015,URMA_WRITE,7,0ns,212,132
213,10,4,44739243,URMA_WRITE,7,0ns,213,133
214,10,5,49213167,URMA_WRITE,7,0ns,214,134
215,14,13,67108863,URMA_WRITE,7,0ns,215,135
216,14,10,53687091,URMA_WRITE,7,0ns,216,136
217,14,11,58161015,URMA_WRITE,7,0ns,217,137
218,14,8,44739243,URMA_WRITE,7,0ns,218,138
219,14,9,49213167,URMA_WRITE,7,0ns,219,139
220,3,2,67108863,URMA_WRITE,7,0ns,220,140
221,3,13,44739243,URMA_WRITE,7,0ns,221,141
222,3,14,49213167,URMA_WRITE,7,0ns,222,142
223,3,15,53687091,URMA_WRITE,7,0ns,223,143
224,3,12,40265318,URMA_WRITE,7,0ns,224,144
225,7,6,67108863,URMA_WRITE,7,0ns,225,145
226,7,1,44739243,URMA_WRITE,7,0ns,226,146
227,7,2,49213167,URMA_WRITE,7,0ns,227,147
228,7,3,53687091,URMA_WRITE,7,0ns,228,148
229,7,0,40265318,URMA_WRITE,7,0ns,229,149
230,11,10,67108863,URMA_WRITE,7,0ns,230,150
231,11,5,44739243,URMA_WRITE,7,0ns,231,151
232,11,6,49213167,URMA_WRITE,7,0ns,232,152
233,11,7,53687091,URMA_WRITE,7,0ns,233,153
234,11,4,40265318,URMA_WRITE,7,0ns,234,154
235,15,14,67108863,URMA_WRITE,7,0ns,235,155
236,15,9,44739243,URMA_WRITE,7,0ns,236,156
237,15,10,49213167,URMA_WRITE,7,0ns,237,157
238,15,11,53687091,URMA_WRITE,7,0ns,238,158
239,15,8,40265318,URMA_WRITE,7,0ns,239,159
