taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
46,0,7,4194304,URMA_WRITE,7,0ns,13,,3,3,6,6,0,1119.67148,0.0,0.0,29.9681
47,0,8,4194304,URMA_WRITE,7,0ns,14,,0,0,3,3,0,1118.29672,0.0,0.0,30.0049
48,0,8,4194304,URMA_WRITE,7,0ns,14,,1,1,4,4,0,1117.5936,0.0,0.0,30.0238
49,0,8,4194304,URMA_WRITE,7,0ns,14,,2,2,5,5,0,1117.34508,0.0,0.0,30.0305
50,0,8,4194304,URMA_WRITE,7,0ns,14,,3,3,6,6,0,1117.79976,0.0,0.0,30.0183
51,1,0,16777216,URMA_WRITE,7,0ns,15,,0,0,0,0,0,367.25124,0.0,0.0,365.4657
52,1,2,16777216,URMA_WRITE,7,0ns,16,,0,0,1,1,0,367.25124,0.0,0.0,365.4657
53,1,15,4194304,URMA_WRITE,7,0ns,17,,0,0,3,3,0,1116.06268,0.0,0.0,30.0650
54,1,15,4194304,URMA_WRITE,7,0ns,17,,1,1,4,4,0,1115.91824,0.0,0.0,30.0689
55,1,15,4194304,URMA_WRITE,7,0ns,17,,2,2,5,5,0,1118.15176,0.0,0.0,30.0088
56,1,15,4194304,URMA_WRITE,7,0ns,17,,3,3,6,6,0,1120.062,0.0,0.0,29.9577
57,1,3,16777216,URMA_WRITE,7,0ns,18,,0,0,2,1,0,367.25124,0.0,0.0,365.4657
58,1,14,4194304,URMA_WRITE,7,0ns,19,,0,0,3,3,0,1119.58,0.0,0.0,29.9706
59,1,14,4194304,URMA_WRITE,7,0ns,19,,1,1,4,4,0,1118.22244,0.0,0.0,30.0069
60,1,14,4194304,URMA_WRITE,7,0ns,19,,2,2,5,5,0,1119.12204,0.0,0.0,29.9828
61,1,14,4194304,URMA_WRITE,7,0ns,19,,3,3,6,6,0,1119.97936,0.0,0.0,29.9599
62,1,4,4194304,URMA_WRITE,7,0ns,20,,0,0,3,3,0,1116.3782,0.0,0.0,30.0565
63,1,4,4194304,URMA_WRITE,7,0ns,20,,1,1,4,4,0,1118.87948,0.0,0.0,29.9893
64,1,4,4194304,URMA_WRITE,7,0ns,20,,2,2,5,5,0,1119.26884,0.0,0.0,29.9789
65,1,4,4194304,URMA_WRITE,7,0ns,20,,3,3,6,6,0,1120.5252,0.0,0.0,29.9453
66,1,13,4194304,URMA_WRITE,7,0ns,21,,0,0,3,3,0,1120.01548,0.0,0.0,29.9589
67,1,13,4194304,URMA_WRITE,7,0ns,21,,1,1,4,4,0,1120.43108,0.0,0.0,29.9478
68,1,13,4194304,URMA_WRITE,7,0ns,21,,2,2,5,5,0,1119.28772,0.0,0.0,29.9784
69,1,13,4194304,URMA_WRITE,7,0ns,21,,3,3,6,6,0,1119.89672,0.0,0.0,29.9621
70,1,5,4194304,URMA_WRITE,7,0ns,22,,0,0,3,3,0,1118.69728,0.0,0.0,29.9942
71,1,5,4194304,URMA_WRITE,7,0ns,22,,1,1,4,4,0,1118.35732,0.0,0.0,30.0033
72,1,5,4194304,URMA_WRITE,7,0ns,22,,2,2,5,5,0,1118.50932,0.0,0.0,29.9992
73,1,5,4194304,URMA_WRITE,7,0ns,22,,3,3,6,6,0,1120.74048,0.0,0.0,29.9395
74,1,12,4194304,URMA_WRITE,7,0ns,23,,0,0,3,3,0,1117.36656,0.0,0.0,30.0299
75,1,12,4194304,URMA_WRITE,7,0ns,23,,1,1,4,4,0,1118.00684,0.0,0.0,30.0127
76,1,12,4194304,URMA_WRITE,7,0ns,23,,2,2,5,5,0,1119.70312,0.0,0.0,29.9673
77,1,12,4194304,URMA_WRITE,7,0ns,23,,3,3,6,6,0,1120.44256,0.0,0.0,29.9475
78,1,6,4194304,URMA_WRITE,7,0ns,24,,0,0,3,3,0,1118.06884,0.0,0.0,30.0111
79,1,6,4194304,URMA_WRITE,7,0ns,24,,1,1,4,4,0,1116.47264,0.0,0.0,30.0540
80,1,6,4194304,URMA_WRITE,7,0ns,24,,2,2,5,5,0,1118.51932,0.0,0.0,29.9990
81,1,6,4194304,URMA_WRITE,7,0ns,24,,3,3,6,6,0,1120.717,0.0,0.0,29.9401
82,1,11,4194304,URMA_WRITE,7,0ns,25,,0,0,3,3,0,1118.39132,0.0,0.0,30.0024
83,1,11,4194304,URMA_WRITE,7,0ns,25,,1,1,4,4,0,1118.99492,0.0,0.0,29.9862
84,1,11,4194304,URMA_WRITE,7,0ns,25,,2,2,5,5,0,1118.67544,0.0,0.0,29.9948
85,1,11,4194304,URMA_WRITE,7,0ns,25,,3,3,6,6,0,1120.35992,0.0,0.0,29.9497
86,1,7,4194304,URMA_WRITE,7,0ns,26,,0,0,3,3,0,1116.99864,0.0,0.0,30.0398
87,1,7,4194304,URMA_WRITE,7,0ns,26,,1,1,4,4,0,1116.9514,0.0,0.0,30.0411
88,1,7,4194304,URMA_WRITE,7,0ns,26,,2,2,5,5,0,1118.8546,0.0,0.0,29.9900
89,1,7,4194304,URMA_WRITE,7,0ns,26,,3,3,6,6,0,1120.75748,0.0,0.0,29.9391
90,1,10,4194304,URMA_WRITE,7,0ns,27,,0,0,3,3,0,1116.88508,0.0,0.0,30.0429
91,1,10,4194304,URMA_WRITE,7,0ns,27,,1,1,4,4,0,1118.1768,0.0,0.0,30.0082
92,1,10,4194304,URMA_WRITE,7,0ns,27,,2,2,5,5,0,1118.8746,0.0,0.0,29.9894
93,1,10,4194304,URMA_WRITE,7,0ns,27,,3,3,6,6,0,1120.80748,0.0,0.0,29.9377
94,1,8,4194304,URMA_WRITE,7,0ns,28,,0,0,3,3,0,1116.9298,0.0,0.0,30.0417
95,1,8,4194304,URMA_WRITE,7,0ns,28,,1,1,4,4,0,1118.01116,0.0,0.0,30.0126
96,1,8,4194304,URMA_WRITE,7,0ns,28,,2,2,5,5,0,1118.7746,0.0,0.0,29.9921
97,1,8,4194304,URMA_WRITE,7,0ns,28,,3,3,6,6,0,1120.76748,0.0,0.0,29.9388
98,1,9,4194304,URMA_WRITE,7,0ns,29,,0,0,3,3,0,1116.82824,0.0,0.0,30.0444
99,1,9,4194304,URMA_WRITE,7,0ns,29,,1,1,4,4,0,1117.79316,0.0,0.0,30.0185
100,1,9,4194304,URMA_WRITE,7,0ns,29,,2,2,5,5,0,1119.17476,0.0,0.0,29.9814
101,1,9,4194304,URMA_WRITE,7,0ns,29,,3,3,6,6,0,1120.77748,0.0,0.0,29.9385
102,2,1,16777216,URMA_WRITE,7,0ns,30,,0,0,1,1,0,367.25124,0.0,0.0,365.4657
103,2,3,16777216,URMA_WRITE,7,0ns,31,,0,0,2,2,0,367.25124,0.0,0.0,365.4657
104,2,0,16777216,URMA_WRITE,7,0ns,32,,0,0,0,1,0,367.25124,0.0,0.0,365.4657
105,2,4,4194304,URMA_WRITE,7,0ns,33,,0,0,3,3,0,1116.89188,0.0,0.0,30.0427
106,2,4,4194304,URMA_WRITE,7,0ns,33,,1,1,4,4,0,1119.4958,0.0,0.0,29.9728
107,2,4,4194304,URMA_WRITE,7,0ns,33,,2,2,5,5,0,1120.34264,0.0,0.0,29.9502
108,2,4,4194304,URMA_WRITE,7,0ns,33,,3,3,6,6,0,1118.72272,0.0,0.0,29.9935
109,2,15,4194304,URMA_WRITE,7,0ns,34,,0,0,3,3,0,1116.51636,0.0,0.0,30.0528
110,2,15,4194304,URMA_WRITE,7,0ns,34,,1,1,4,4,0,1116.94772,0.0,0.0,30.0412
111,2,15,4194304,URMA_WRITE,7,0ns,34,,2,2,5,5,0,1119.87944,0.0,0.0,29.9625
112,2,15,4194304,URMA_WRITE,7,0ns,34,,3,3,6,6,0,1118.91452,0.0,0.0,29.9884
113,2,5,4194304,URMA_WRITE,7,0ns,35,,0,0,3,3,0,1118.60416,0.0,0.0,29.9967
114,2,5,4194304,URMA_WRITE,7,0ns,35,,1,1,4,4,0,1119.25156,0.0,0.0,29.9793
115,2,5,4194304,URMA_WRITE,7,0ns,35,,2,2,5,5,0,1120.64056,0.0,0.0,29.9422
116,2,5,4194304,URMA_WRITE,7,0ns,35,,3,3,6,6,0,1118.80536,0.0,0.0,29.9913
117,2,14,4194304,URMA_WRITE,7,0ns,36,,0,0,3,3,0,1119.37472,0.0,0.0,29.9760
118,2,14,4194304,URMA_WRITE,7,0ns,36,,1,1,4,4,0,1118.61444,0.0,0.0,29.9964
119,2,14,4194304,URMA_WRITE,7,0ns,36,,2,2,5,5,0,1119.7968,0.0,0.0,29.9648
120,2,14,4194304,URMA_WRITE,7,0ns,36,,3,3,6,6,0,1118.90452,0.0,0.0,29.9886
121,2,6,4194304,URMA_WRITE,7,0ns,37,,0,0,3,3,0,1118.43772,0.0,0.0,30.0012
122,2,6,4194304,URMA_WRITE,7,0ns,37,,1,1,4,4,0,1118.05084,0.0,0.0,30.0115
123,2,6,4194304,URMA_WRITE,7,0ns,37,,2,2,5,5,0,1120.7232,0.0,0.0,29.9400
