scenario,max_over_avg,algorithm,case,tasks,total_bytes,pair_avg_bytes,pair_min_bytes,pair_max_bytes,pair_cv,src_cv,dst_cv,cross_fraction,a_bytes_per_pair,a_network_bytes,b_network_bytes,padding_bytes,effective_total_bytes,network_total_bytes,b_tasks,makespan_us,effective_global_GBps,network_global_GBps,single_rank_GBps,rank0_makespan_us,rank0_GBps
max1p0x,1.0,hybrid-min,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-min_max1p0x_128mb,240.0,2013265920,8388608.0,8388608,8388608,0.0,0.0,0.0,0.8,8388608.0,2013265920.0,0.0,0.0,2013265920.0,2013265920.0,0.0,521.96168,3857.114414989238,3857.114414989238,241.06965093682737,521.95948,241.07066701806048
max1p0x,1.0,hybrid-pad80,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-pad80_max1p0x_128mb,480.0,2013265920,8388608.0,8388608,8388608,0.0,0.0,0.0,0.8,6710886.0,1610612640.0,402653280.0,0.0,2013265920.0,2013265920.0,240.0,525.0937,3834.107931593923,3834.107931593923,239.63174572462017,525.06832,239.6433287005394
max1p2x,1.2,hybrid-min,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-min_max1p2x_128mb,464.0,2040109472,8500456.133333333,6934583,10066330,0.11369720354737976,0.0,0.0,0.7999999972550492,6934583.0,1664299920.0,375809552.0,0.0,2040109472.0,2040109472.0,224.0,551.76864,3697.4001857010217,3697.4001857010217,231.08751160631385,550.42126,231.65319232036933
max1p2x,1.2,hybrid-pad80,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-pad80_max1p2x_128mb,480.0,2040109472,8500456.133333333,6934583,10066330,0.11369720354737976,0.0,0.0,0.7999999972550492,6800364.0,1632087360.0,408022112.0,0.0,2040109472.0,2040109472.0,240.0,551.67044,3698.0583407731615,3698.0583407731615,231.1286462983226,551.47838,231.20914005731285
max1p5x,1.5,hybrid-min,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-min_max1p5x_128mb,464.0,2080374784,8668228.266666668,4753545,12582912,0.2787415188011031,0.0,0.0,0.7999999984618156,4753545.0,1140850800.0,939523984.0,0.0,2080374784.0,2080374784.0,224.0,592.1153,3513.462300332384,3513.462300332384,219.591393770774,591.26734,219.90631851913216
max1p5x,1.5,hybrid-pad80,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-pad80_max1p5x_128mb,416.0,2080374784,8668228.266666668,4753545,12582912,0.2787415188011031,0.0,0.0,0.7999999984618156,6934582.0,1664299680.0,501974400.0,85899296.0,2080374784.0,2166274080.0,176.0,596.37778,3488.350595489993,3632.3856331468287,218.02191221812456,596.37778,218.02191221812456
max2p0x,2.0,hybrid-min,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-min_max2p0x_128mb,464.0,2147483632,8947848.466666667,1118481,16777215,0.5400617329148703,0.0,0.0,0.8000000048428775,1118481.0,268435440.0,1879048192.0,0.0,2147483632.0,2147483632.0,224.0,661.40196,3246.8661447571153,3246.8661447571153,202.9291340473197,659.88496,203.39564490149922
max2p0x,2.0,hybrid-pad80,experiments/ubx16/alltoallv/hybrid_ab/cases/generated_topology_ubx16_a2av_hybrid-pad80_max2p0x_128mb,384.0,2147483632,8947848.466666667,1118481,16777215,0.5400617329148703,0.0,0.0,0.8000000048428775,7158278.0,1717986720.0,740881984.0,311385072.0,2147483632.0,2458868704.0,144.0,688.0915,3120.927423169738,3573.4618201213066,195.05796394810864,687.68082,195.17445171729523
