taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint
0,0,15,2982616,URMA_WRITE,7,0ns,0,,0,0,3,3
1,0,15,2982616,URMA_WRITE,7,0ns,0,,1,1,4,4
2,0,15,2982617,URMA_WRITE,7,0ns,0,,2,2,5,5
3,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0
4,0,14,2982616,URMA_WRITE,7,0ns,2,,0,0,3,3
5,0,14,2982616,URMA_WRITE,7,0ns,2,,1,1,4,4
6,0,14,2982617,URMA_WRITE,7,0ns,2,,2,2,5,5
7,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0
8,0,13,2982616,URMA_WRITE,7,0ns,4,,0,0,3,3
9,0,13,2982616,URMA_WRITE,7,0ns,4,,1,1,4,4
10,0,13,2982617,URMA_WRITE,7,0ns,4,,2,2,5,5
11,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0
12,0,12,2982616,URMA_WRITE,7,0ns,6,,0,0,3,3
13,0,12,2982616,URMA_WRITE,7,0ns,6,,1,1,4,4
14,0,12,2982617,URMA_WRITE,7,0ns,6,,2,2,5,5
15,0,4,2982616,URMA_WRITE,7,0ns,7,,0,0,3,3
16,0,4,2982616,URMA_WRITE,7,0ns,7,,1,1,4,4
17,0,4,2982617,URMA_WRITE,7,0ns,7,,2,2,5,5
18,0,11,2982616,URMA_WRITE,7,0ns,8,,0,0,3,3
19,0,11,2982616,URMA_WRITE,7,0ns,8,,1,1,4,4
20,0,11,2982616,URMA_WRITE,7,0ns,8,,2,2,5,5
21,0,5,2982616,URMA_WRITE,7,0ns,9,,0,0,3,3
22,0,5,2982616,URMA_WRITE,7,0ns,9,,1,1,4,4
23,0,5,2982616,URMA_WRITE,7,0ns,9,,2,2,5,5
24,0,10,2982616,URMA_WRITE,7,0ns,10,,0,0,3,3
25,0,10,2982616,URMA_WRITE,7,0ns,10,,1,1,4,4
26,0,10,2982616,URMA_WRITE,7,0ns,10,,2,2,5,5
27,0,6,2982616,URMA_WRITE,7,0ns,11,,0,0,3,3
28,0,6,2982616,URMA_WRITE,7,0ns,11,,1,1,4,4
29,0,6,2982616,URMA_WRITE,7,0ns,11,,2,2,5,5
30,0,9,2982616,URMA_WRITE,7,0ns,12,,0,0,3,3
31,0,9,2982616,URMA_WRITE,7,0ns,12,,1,1,4,4
32,0,9,2982616,URMA_WRITE,7,0ns,12,,2,2,5,5
33,0,7,2982616,URMA_WRITE,7,0ns,13,,0,0,3,3
34,0,7,2982616,URMA_WRITE,7,0ns,13,,1,1,4,4
35,0,7,2982616,URMA_WRITE,7,0ns,13,,2,2,5,5
36,0,8,2982616,URMA_WRITE,7,0ns,14,,0,0,3,3
