nodeId,originalNodeId,role
134,134,NPU
135,135,NPU
136,136,NPU
137,137,NPU
138,138,NPU
139,139,NPU
140,140,NPU
141,141,NPU
142,142,NPU
143,143,NPU
144,144,NPU
145,145,NPU
146,146,NPU
147,147,NPU
148,148,NPU
149,149,NPU
150,150,NPU
151,151,NPU
152,152,NPU
153,153,NPU
154,154,NPU
155,155,NPU
156,156,NPU
157,157,NPU
158,158,NPU
159,159,NPU
160,160,NPU
161,161,NPU
162,162,NPU
163,163,NPU
164,164,NPU
165,165,NPU
166,166,NPU
167,167,NPU
168,168,NPU
169,169,NPU
170,170,NPU
171,171,NPU
172,172,NPU
173,173,NPU
174,174,NPU
175,175,NPU
176,176,NPU
177,177,NPU
178,178,NPU
179,179,NPU
180,180,NPU
181,181,NPU
182,182,NPU
183,183,NPU
184,184,NPU
185,185,NPU
186,186,NPU
187,187,NPU
188,188,NPU
189,189,NPU
190,190,NPU
191,191,NPU
192,192,NPU
193,193,NPU
194,194,NPU
195,195,NPU
196,196,NPU
197,197,NPU
198,198,NPU
199,199,NPU
200,200,NPU
201,201,NPU
202,202,NPU
203,203,NPU
204,204,NPU
205,205,NPU
206,206,NPU
207,207,NPU
208,208,NPU
209,209,NPU
210,210,NPU
211,211,NPU
212,212,NPU
213,213,NPU
214,214,NPU
215,215,NPU
216,216,NPU
217,217,NPU
218,218,NPU
219,219,NPU
220,220,NPU
221,221,NPU
222,222,NPU
223,223,NPU
224,224,NPU
225,225,NPU
226,226,NPU
227,227,NPU
228,228,NPU
229,229,NPU
230,230,NPU
231,231,NPU
232,232,NPU
233,233,NPU
234,234,NPU
235,235,NPU
236,236,NPU
237,237,NPU
238,238,NPU
239,239,NPU
240,240,NPU
241,241,NPU
242,242,NPU
243,243,NPU
244,244,NPU
245,245,NPU
246,246,NPU
247,247,NPU
248,248,NPU
249,249,NPU
250,250,NPU
251,251,NPU
252,252,NPU
253,253,NPU
254,254,NPU
255,255,NPU
256,256,L1
257,257,L1
258,258,L1
259,259,L1
260,260,L1
261,261,L1
262,262,L1
263,263,L1
264,264,L1
265,265,L1
266,266,L1
267,267,L1
268,268,L1
269,269,L1
270,270,L1
271,271,L1
272,272,L1
273,273,L1
274,274,L1
275,275,L1
276,276,L1
277,277,L1
278,278,L1
279,279,L1
280,280,L1
281,281,L1
282,282,L1
283,283,L1
284,284,L1
285,285,L1
286,286,L1
287,287,L1
288,288,L1
289,289,L1
290,290,L1
291,291,L1
292,292,L1
293,293,L1
294,294,L1
295,295,L1
296,296,L1
297,297,L1
298,298,L1
299,299,L1
300,300,L1
301,301,L1
302,302,L1
303,303,L1
304,304,L1
305,305,L1
306,306,L1
307,307,L1
308,308,L1
309,309,L1
310,310,L1
311,311,L1
312,312,L1
313,313,L1
314,314,L1
315,315,L1
316,316,L1
317,317,L1
318,318,L1
319,319,L1
320,320,L1
321,321,L1
322,322,L1
323,323,L1
324,324,L1
325,325,L1
326,326,L1
327,327,L1
328,328,L1
329,329,L1
330,330,L1
331,331,L1
332,332,L1
333,333,L1
334,334,L1
335,335,L1
336,336,L1
337,337,L1
338,338,L1
339,339,L1
340,340,L1
341,341,L1
342,342,L1
343,343,L1
344,344,L1
345,345,L1
346,346,L1
347,347,L1
348,348,L1
349,349,L1
350,350,L1
351,351,L1
352,352,L1
353,353,L1
354,354,L1
355,355,L1
356,356,L1
357,357,L1
358,358,L1
359,359,L1
360,360,L1
361,361,L1
362,362,L1
363,363,L1
364,364,L1
365,365,L1
366,366,L1
367,367,L1
368,368,L1
369,369,L1
370,370,L1
371,371,L1
372,372,L1
373,373,L1
374,374,L1
375,375,L1
376,376,L1
377,377,L1
378,378,L1
379,379,L1
380,380,L1
381,381,L1
382,382,L1
383,383,L1
384,384,L1
385,385,L1
386,386,L1
387,387,L1
388,388,L1
389,389,L1
390,390,L1
391,391,L1
392,392,L1
393,393,L1
394,394,L1
395,395,L1
396,396,L1
397,397,L1
398,398,L1
399,399,L1
400,400,L1
401,401,L1
402,402,L1
403,403,L1
404,404,L1
405,405,L1
406,406,L1
407,407,L1
408,408,L1
409,409,L1
410,410,L1
411,411,L1
412,412,L1
413,413,L1
414,414,L1
415,415,L1
416,416,L1
417,417,L1
418,418,L1
419,419,L1
420,420,L1
421,421,L1
422,422,L1
423,423,L1
424,424,L1
425,425,L1
426,426,L1
427,427,L1
428,428,L1
429,429,L1
430,430,L1
431,431,L1
432,432,L1
433,433,L1
434,434,L1
435,435,L1
436,436,L1
437,437,L1
438,438,L1
439,439,L1
440,440,L1
441,441,L1
442,442,L1
443,443,L1
444,444,L1
445,445,L1
446,446,L1
447,447,L1
448,448,L1
449,449,L1
450,450,L1
451,451,L1
452,452,L1
453,453,L1
454,454,L1
455,455,L1
456,456,L1
457,457,L1
458,458,L1
459,459,L1
460,460,L1
461,461,L1
462,462,L1
463,463,L1
464,464,L1
465,465,L1
466,466,L1
467,467,L1
468,468,L1
469,469,L1
470,470,L1
471,471,L1
472,472,L1
473,473,L1
474,474,L1
475,475,L1
476,476,L1
477,477,L1
478,478,L1
479,479,L1
480,480,L1
481,481,L1
482,482,L1
483,483,L1
484,484,L1
485,485,L1
486,486,L1
487,487,L1
488,488,L1
489,489,L1
490,490,L1
491,491,L1
492,492,L1
493,493,L1
494,494,L1
495,495,L1
496,496,L1
497,497,L1
498,498,L1
499,499,L1
500,500,L1
501,501,L1
502,502,L1
503,503,L1
504,504,L1
505,505,L1
506,506,L1
507,507,L1
508,508,L1
509,509,L1
510,510,L1
511,511,L1
512,512,L2
513,513,L2
514,514,L2
515,515,L2
516,516,L2
517,517,L2
518,518,L2
519,519,L2
520,520,L2
521,521,L2
522,522,L2
523,523,L2
524,524,L2
525,525,L2
526,526,L2
527,527,L2
528,528,L2
529,529,L2
530,530,L2
531,531,L2
532,532,L2
533,533,L2
534,534,L2
535,535,L2
536,536,L2
537,537,L2
538,538,L2
539,539,L2
540,540,L2
541,541,L2
542,542,L2
543,543,L2
544,544,L2
545,545,L2
546,546,L2
547,547,L2
548,548,L2
549,549,L2
550,550,L2
551,551,L2
552,552,L2
553,553,L2
554,554,L2
555,555,L2
556,556,L2
557,557,L2
558,558,L2
559,559,L2
560,560,L2
561,561,L2
562,562,L2
563,563,L2
564,564,L2
565,565,L2
566,566,L2
567,567,L2
568,568,L2
569,569,L2
570,570,L2
571,571,L2
572,572,L2
573,573,L2
574,574,L2
575,575,L2
576,576,5808
577,577,5808
578,578,5808
579,579,5808
580,580,5808
581,581,5808
582,582,5808
583,583,5808
584,584,5808
585,585,5808
586,586,5808
587,587,5808
588,588,5808
589,589,5808
590,590,5808
591,591,5808
592,592,5808
593,593,5808
594,594,5808
595,595,5808
596,596,5808
597,597,5808
598,598,5808
599,599,5808
600,600,5808
601,601,5808
602,602,5808
603,603,5808
604,604,5808
605,605,5808
606,606,5808
607,607,5808
