algorithm,case,tasks,total_bytes,pair_avg_bytes,pair_min_bytes,pair_max_bytes,pair_cv,src_min_bytes,src_max_bytes,src_max_min_ratio,src_cv,dst_cv,cross_fraction,plane0_bytes,plane1_bytes,plane2_bytes,plane3_bytes,plane_cv,max_dst_plane_queue,makespan_us,global_GBps,single_rank_GBps,rank0_makespan_us,rank0_GBps,profile
baseline,experiments/ubx16/alltoallv/snack/cases/generated_topology_ubx16_a2av_snack_baseline_ratio1p2_seed4_1mibmin,240.0,274714475.0,1144643.6458333333,1048576.0,1258291.0,0.050175375263529255,16936723.0,17464448.0,1.0311586249595037,0.009989562190518907,0.011943709846892211,0.7982906215626242,0.0,0.0,0.0,0.0,0.0,0.0,75.4801,3639.5616195527036,227.47260122204398,74.88626,226.21719925657928,../profiles/generated_topology_ubx16_a2av_snack_baseline_ratio1p2_seed4_1mibmin-rank0-profile.html
snack-v0,experiments/ubx16/alltoallv/snack/cases/generated_topology_ubx16_a2av_snack_v0_ratio1p2_seed4_1mibmin,240.0,274714475.0,1144643.6458333333,1048576.0,1258291.0,0.050175375263529255,16936723.0,17464448.0,1.0311586249595037,0.009989562190518907,0.011943709846892211,0.7982906215626242,55465931.0,55014345.0,54534089.0,54287624.0,0.008258598194991033,6.0,194.13186,1415.0921698272505,88.44326061420315,146.36298,115.74347557012027,../profiles/generated_topology_ubx16_a2av_snack_v0_ratio1p2_seed4_1mibmin-rank0-profile.html
snack-v1,experiments/ubx16/alltoallv/snack/cases/generated_topology_ubx16_a2av_snack_v1_ratio1p2_seed4_1mibmin,240.0,274714475.0,1144643.6458333333,1048576.0,1258291.0,0.050175375263529255,16936723.0,17464448.0,1.0311586249595037,0.009989562190518907,0.011943709846892211,0.7982906215626242,54784978.0,54905488.0,54876655.0,54734868.0,0.001252812571275807,7.0,188.98744,1453.6123405872897,90.85077128670561,171.35658,98.86145019934455,../profiles/generated_topology_ubx16_a2av_snack_v1_ratio1p2_seed4_1mibmin-rank0-profile.html
