scenario,max_over_avg,algorithm,case,tasks,total_bytes,pair_avg_bytes,pair_min_bytes,pair_max_bytes,pair_cv,src_cv,dst_cv,cross_fraction,makespan_us,global_GBps,rank0_makespan_us,rank0_GBps
max1p0x,1.0,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_stepbarrier_max1p0x_closv3_128mb,240,2013265920,8388608.0,8388608,8388608,0.0,0.0,0.0,0.8,521.96304,3857.104365090678,521.96168,241.06965093682737
max1p2x,1.2,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_stepbarrier_max1p2x_closv3_128mb,240,2040109472,8500456.133333333,6934583,10066330,0.11369720354737976,0.0,0.0,0.7999999972550492,618.74132,3297.192875368337,618.74092,206.0746879323902
max1p5x,1.5,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_stepbarrier_max1p5x_closv3_128mb,240,2080374784,8668228.266666668,4753545,12582912,0.2787415188011031,0.0,0.0,0.7999999984618156,763.85296,2723.5278161388546,763.85296,170.22048850867841
max2p0x,2.0,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_stepbarrier_max2p0x_closv3_128mb,240,2147483632,8947848.466666667,1118481,16777215,0.5400617329148703,0.0,0.0,0.8000000048428775,1005.71002,2135.2910772431205,1005.71002,133.45569232769503
